,"Agriculture, forest and other land use",Industrial process and product use,Other,Stationary energy,Transport,Unnamed: 0,Waste management,city,country,inventory_type
547,0.0,0.0,0.0,0.0,0.0,547.0,0.0,"Tokyo Metropolitan Government, Japan",Japan,Government operations inventory
548,0.0,0.0,,793081.0,393282.0,548.0,22576.0,"Tottori City, Japan",Japan,Community inventories
549,0.0,0.0,0.0,0.0,0.0,549.0,0.0,"Tottori City, Japan",Japan,Government operations inventory
550,0.0,0.0,4221.0,0.0,5450.0,550.0,0.0,"Tottori Prefecture, Japan",Japan,Government operations inventory
551,37556.0,277147.0,,2591145.0,927276.323,551.0,86794.21,"Toyama City, Japan",Japan,Community inventories
552,37954.56,0.0,18.1,0.0,0.0,552.0,3740.54,"Toyama City, Japan",Japan,Government operations inventory
553,0.0,0.0,,7619000.0,2280000.0,553.0,206000.0,"Toyama Prefecture, Japan",Japan,Community inventories
554,0.0,0.0,0.0,0.0,30028.0,554.0,0.0,"Toyama Prefecture, Japan",Japan,Government operations inventory
555,0.0,0.0,,918878.0,335139.0,555.0,64639.0,"Toyonaka City, Japan",Japan,Community inventories
556,0.0,0.0,10.0,0.0,1497.0,556.0,4472.0,"Toyonaka City, Japan",Japan,Government operations inventory
557,0.0,0.0,,1594597.0,444220.0,557.0,38217.0,"Tsukuba City, Japan",Japan,Community inventories
558,0.0,0.0,14.0,0.0,770.0,558.0,0.0,"Tsukuba City, Japan",Japan,Government operations inventory
559,0.0,0.0,,3355283.0,491118.0,559.0,36992.0,"Ube City, Japan",Japan,Community inventories
560,0.0,0.0,0.0,0.0,3576.0,560.0,19565.0,"Ube City, Japan",Japan,Government operations inventory
561,0.0,0.0,,2942414.0,947524.0,561.0,61795.0,"Utsunomiya City, Japan",Japan,Community inventories
562,0.0,0.0,19.0,0.0,1246.0,562.0,59117.0,"Utsunomiya City, Japan",Japan,Government operations inventory
563,0.0,789657.0,,15072087.0,2092280.0,563.0,181833.0,"Wakayama Prefecture, Japan",Japan,Community inventories
564,252.0,0.0,0.0,0.0,332.0,564.0,0.0,"Wakayama Prefecture, Japan",Japan,Government operations inventory
565,0.0,0.0,,6634000.0,1911000.0,565.0,236000.0,"Yamagata Prefecture, Japan",Japan,Community inventories
566,0.0,0.0,,1603956.0,419426.0,566.0,2068.0,"Yamaguchi City, Japan",Japan,Community inventories
567,0.0,0.0,28.0,0.0,1091.0,567.0,0.0,"Yamaguchi City, Japan",Japan,Government operations inventory
568,0.0,0.0,,30775000.0,3230000.0,568.0,0.0,"Yamaguchi Prefecture, Japan",Japan,Community inventories
569,0.0,0.0,1994.0,0.0,7729.0,569.0,0.0,"Yamaguchi Prefecture, Japan",Japan,Government operations inventory
570,0.0,0.0,,3525000.0,2440000.0,570.0,244000.0,"Yamanashi Prefecture, Japan",Japan,Community inventories
571,0.0,0.0,32487.0,0.0,0.0,571.0,0.0,"Yamanashi Prefecture, Japan",Japan,Government operations inventory
572,0.0,0.0,,1044756.0,355292.0,572.0,30998.0,"Yao City, Japan",Japan,Community inventories
573,0.0,0.0,0.0,0.0,966.0,573.0,0.0,"Yao City, Japan",Japan,Government operations inventory
574,0.0,0.0,,0.0,0.0,574.0,0.0,"Yokohama City, Japan",Japan,Community inventories
575,0.0,0.0,0.0,0.0,0.0,575.0,338928.0,"Yokohama City, Japan",Japan,Government operations inventory
576,0.0,0.0,32.0,0.0,27.0,576.0,22775.0,"Yokosuka City, Japan",Japan,Government operations inventory
577,0.0,0.0,,4754677.692,2267555.2569999998,577.0,423188.0241,"Greater Amman Municipality, Jordan",Jordan,Community inventories
578,0.0,0.0,,0.0,0.0,578.0,0.0,"Kuching North City Council, Malaysia",Malaysia,Community inventories
579,0.0,0.0,0.0,0.0,0.0,579.0,0.0,"Kuching North City Council, Malaysia",Malaysia,Government operations inventory
580,0.0,0.0,,0.0,0.0,580.0,0.0,"Melaka Historic City Council, Malaysia",Malaysia,Community inventories
581,0.0,0.0,,0.0,0.0,581.0,0.0,"Penang Island City Council, Malaysia",Malaysia,Community inventories
582,0.0,0.0,0.0,0.0,0.0,582.0,0.0,"Penang Island City Council, Malaysia",Malaysia,Government operations inventory
583,0.0,0.0,,0.0,0.0,583.0,0.0,"Petaling Jaya City Council, Malaysia",Malaysia,Community inventories
584,0.0,0.0,0.0,0.0,1731.7,584.0,0.0,"Petaling Jaya City Council, Malaysia",Malaysia,Government operations inventory
585,202.678,477.9894,,3692.34568,1181.4589999999998,585.0,2577.01,"Seberang Perai Municipal Council, Malaysia",Malaysia,Community inventories
586,0.0,0.0,,0.0,0.0,586.0,0.0,"Shah Alam City Council, Malaysia",Malaysia,Community inventories
587,0.0,0.0,0.0,0.0,1106.17960035038,587.0,189336.9975,"Shah Alam City Council, Malaysia",Malaysia,Government operations inventory
588,504782775.0,0.0,,12392257.0,5977075.0,588.0,6542240.0,"Guadalajara Metropolitan Area, Mexico",Mexico,Community inventories
589,0.0,0.0,,0.0,0.0,589.0,0.0,"Muncipality of Banderilla, Mexico",Mexico,Community inventories
590,511831.0,0.0,,58697.0,2821440.0,590.0,447835.0,"Municipality of Aguascalientes, Mexico",Mexico,Community inventories
591,12740.0,0.0,,2858.0,17128.0,591.0,10385.0,"Municipality of Amacuzac, Mexico",Mexico,Community inventories
592,16459.0,0.0,,3273.0,19617.0,592.0,5524.0,"Municipality of Atlatlahucan, Mexico",Mexico,Community inventories
593,12531.0,27795.0,,730660.0,107027.0,593.0,10981.0,"Municipality of Atotonilco de Tula, Mexico",Mexico,Community inventories
594,16459.0,0.0,,5281.0,31652.0,594.0,10114.0,"Municipality of Axochiapan, Mexico",Mexico,Community inventories
595,862.0,0.0,,43191.0,85896.0,595.0,44484.0,"Municipality of Cozumel, Mexico",Mexico,Community inventories
596,0.0,0.0,,167953.0,234091.0,596.0,82434.0,"Municipality of Cuautla, Mexico",Mexico,Community inventories
597,0.0,0.0,,856400.0,3360890.0,597.0,1245090.0,"Municipality of Guadalajara, Mexico",Mexico,Community inventories
598,348737.0,1515100.0,,317108.0,2360326.0,598.0,390370.0,"Municipality of Hermosillo, Mexico",Mexico,Community inventories
599,0.0,0.0,0.0,0.0,1226.0,599.0,65040.0,"Municipality of Hermosillo, Mexico",Mexico,Government operations inventory
600,6626.0,0.0,,12619.0,75623.0,600.0,16587778.0,"Municipality of Jojutla, Mexico",Mexico,Community inventories
601,40354.0,0.0,,2678.0,16050.0,601.0,2995.0,"Municipality of Jonacatepec, Mexico",Mexico,Community inventories
602,0.0,0.0,,92919911.17,232496.345,602.0,1159468.7,"Municipality of León de los Aldamas, Mexico",Mexico,Community inventories
603,227360.93,0.0,0.0,0.0,232496.345,603.0,1278383.4,"Municipality of León de los Aldamas, Mexico",Mexico,Government operations inventory
604,0.0,0.0,,0.0,0.0,604.0,0.0,"Municipality of Los Mochis, Mexico",Mexico,Community inventories
605,71.0,0.0,,1646.0,9704.0,605.0,133.0,"Municipality of Mazatepec, Mexico",Mexico,Community inventories
606,0.0,0.0,,0.0,0.0,606.0,0.0,"Municipality of Mérida, Mexico",Mexico,Community inventories
607,14696.0,0.0,,599233.0,1744267.0,607.0,929292.0,"Municipality of Puebla de Zaragoza, Mexico",Mexico,Community inventories
608,14696.0,0.0,235066.0,0.0,602631.0,608.0,929292.0,"Municipality of Puebla de Zaragoza, Mexico",Mexico,Government operations inventory
609,0.0,0.0,0.0,0.0,0.0,609.0,0.0,"Municipality of Salamanca, Mexico",Mexico,Government operations inventory
610,0.0,0.0,,0.0,0.0,610.0,0.0,"Municipality of San Pedro Tlaquepaque, Mexico",Mexico,Community inventories
611,0.0,372.8,0.0,0.0,37475.0,611.0,172098.76,"Municipality of San Pedro Tlaquepaque, Mexico",Mexico,Government operations inventory
612,186090.0,1080070.0,,3099290.0,0.0,612.0,267524.0,"Municipality of Tlalnepantla de Baz, Mexico",Mexico,Community inventories
613,82773.0,1621.0,,2659959.0,1516259.0,613.0,117705.0,"Municipality of Toluca de Lerdo, Mexico",Mexico,Community inventories
614,8277.0,1621.0,0.0,0.0,1516259.0,614.0,1117705.0,"Municipality of Toluca de Lerdo, Mexico",Mexico,Government operations inventory
