,actions_nr,city,city_profile_url,commitments_nr,country,performance_nr,state
131,6,Municipality of Cuenca,http://carbonn.org/city_profiles/Municipality_of_Cuenca&text=Municipality%20of%20Cuenca%20on%20Carbonn%20Climate%20Registry,0,Ecuador,0,
132,0,Municipality of Santa Cruz,http://carbonn.org/city_profiles/Municipality_of_Santa_Cruz&text=Municipality%20of%20Santa%20Cruz%20on%20Carbonn%20Climate%20Registry,9,Ecuador,2,
133,9,Municipality of the Metropolitan District of Quito,http://carbonn.org/city_profiles/Municipality_of_the_Metropolitan_District_of_Quito&text=Municipality%20of%20the%20Metropolitan%20District%20of%20Quito%20on%20Carbonn%20Climate%20Registry,11,Ecuador,4,
134,3,Province of Pichincha,http://carbonn.org/city_profiles/Province_of_Pichincha&text=Province%20of%20Pichincha%20on%20Carbonn%20Climate%20Registry,0,Ecuador,0,
135,1,Municipality of the City of San Salvador,http://carbonn.org/city_profiles/Municipality_of_the_City_of_San_Salvador&text=Municipality%20of%20the%20City%20of%20San%20Salvador%20on%20Carbonn%20Climate%20Registry,0,El Salvador,0,
136,5,Municipality of the City of Santa Ana,http://carbonn.org/city_profiles/Municipality_of_the_City_of_Santa_Ana&text=Municipality%20of%20the%20City%20of%20Santa%20Ana%20on%20Carbonn%20Climate%20Registry,0,El Salvador,0,
137,3,City of Espoo,http://carbonn.org/city_profiles/City_of_Espoo&text=City%20of%20Espoo%20on%20Carbonn%20Climate%20Registry,1,Finland,6,
138,1,City of Helsinki,http://carbonn.org/city_profiles/City_of_Helsinki&text=City%20of%20Helsinki%20on%20Carbonn%20Climate%20Registry,4,Finland,2,
139,25,City of Lahti,http://carbonn.org/city_profiles/City_of_Lahti&text=City%20of%20Lahti%20on%20Carbonn%20Climate%20Registry,3,Finland,2,
140,23,City of Lappeenranta,http://carbonn.org/city_profiles/City_of_Lappeenranta&text=City%20of%20Lappeenranta%20on%20Carbonn%20Climate%20Registry,4,Finland,2,
141,9,City of Tampere,http://carbonn.org/city_profiles/City_of_Tampere&text=City%20of%20Tampere%20on%20Carbonn%20Climate%20Registry,2,Finland,1,
142,1,Bordeaux Metropolis,http://carbonn.org/city_profiles/Bordeaux_Metropolis&text=Bordeaux%20Metropolis%20on%20Carbonn%20Climate%20Registry,1,France,1,
143,5,Brest Metropolis,http://carbonn.org/city_profiles/Brest_Metropolis&text=Brest%20Metropolis%20on%20Carbonn%20Climate%20Registry,0,France,0,
144,13,City of Besançon,http://carbonn.org/city_profiles/City_of_Besan%C3%A7on&text=City%20of%20Besan%C3%A7on%20on%20Carbonn%20Climate%20Registry,7,France,2,
145,6,City of Grenoble,http://carbonn.org/city_profiles/City_of_Grenoble&text=City%20of%20Grenoble%20on%20Carbonn%20Climate%20Registry,2,France,1,
146,6,City of Orléans,http://carbonn.org/city_profiles/City_of_Orl%C3%A9ans&text=City%20of%20Orl%C3%A9ans%20on%20Carbonn%20Climate%20Registry,0,France,0,
147,58,City of Paris,http://carbonn.org/city_profiles/City_of_Paris&text=City%20of%20Paris%20on%20Carbonn%20Climate%20Registry,16,France,5,
148,5,Lille European Metropolis,http://carbonn.org/city_profiles/Lille_European_Metropolis&text=Lille%20European%20Metropolis%20on%20Carbonn%20Climate%20Registry,3,France,2,
149,5,Lyon Metropolis,http://carbonn.org/city_profiles/Lyon_Metropolis&text=Lyon%20Metropolis%20on%20Carbonn%20Climate%20Registry,2,France,2,
150,3,Municipality of Mellac,http://carbonn.org/city_profiles/Municipality_of_Mellac&text=Municipality%20of%20Mellac%20on%20Carbonn%20Climate%20Registry,0,France,0,
