,city,country,plan_name,plan_type,start year
122,"City of Tangerang, Indonesia",Indonesia,"City of Tangerang, Indonesia",Climate mitigation plan,2017
123,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,2010
124,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,2004
125,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,2011
126,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,
127,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,2008
128,"Aichi Prefecture, Japan",Japan,"Aichi Prefecture, Japan",Integrated climate plan,2012
129,"Aichi Prefecture, Japan",Japan,"Aichi Prefecture, Japan",Climate mitigation plan,2016
130,"Hiroshima City, Japan",Japan,"Hiroshima City, Japan",Integrated climate plan,2017
131,"Kawasaki City, Japan",Japan,"Kawasaki City, Japan",Climate mitigation plan,2010
132,"Kitakyushu City, Japan",Japan,"Kitakyushu City, Japan",Climate mitigation plan,2016
133,"Sapporo City, Japan",Japan,"Sapporo City, Japan",Climate mitigation plan,2015
134,"Tokyo Metropolitan Government, Japan",Japan,"Tokyo Metropolitan Government, Japan",Integrated climate plan,2016
135,"Toyama City, Japan",Japan,"Toyama City, Japan",Climate mitigation plan,2016
136,"Toyama City, Japan",Japan,"Toyama City, Japan",Climate adaptation /resilience plan,2017
137,"Toyama City, Japan",Japan,"Toyama City, Japan",Integrated climate plan,2014
138,"Toyama City, Japan",Japan,"Toyama City, Japan",Integrated climate plan,2015
139,"Toyama City, Japan",Japan,"Toyama City, Japan",Integrated climate plan,2015
140,"Yokohama City, Japan",Japan,"Yokohama City, Japan",Climate mitigation plan,2011
141,"Alor Gajah Municipal Council, Malaysia",Malaysia,"Alor Gajah Municipal Council, Malaysia",Climate mitigation plan,2014
142,"City of Kota Kinabalu, Malaysia",Malaysia,"City of Kota Kinabalu, Malaysia",Climate mitigation plan,
143,"City of Kota Kinabalu, Malaysia",Malaysia,"City of Kota Kinabalu, Malaysia",Climate mitigation plan,2011
144,"City of Kota Kinabalu, Malaysia",Malaysia,"City of Kota Kinabalu, Malaysia",Climate mitigation plan,2010
145,"City of Kota Kinabalu, Malaysia",Malaysia,"City of Kota Kinabalu, Malaysia",Climate mitigation plan,2012
146,"Hang Tuah Jaya Municipal Council, Malaysia",Malaysia,"Hang Tuah Jaya Municipal Council, Malaysia",Climate mitigation plan,
147,"Jasin Municipal Council, Malaysia",Malaysia,"Jasin Municipal Council, Malaysia",Integrated climate plan,2014
148,"Melaka Historic City Council, Malaysia",Malaysia,"Melaka Historic City Council, Malaysia",Climate adaptation /resilience plan,2017
149,"Melaka Historic City Council, Malaysia",Malaysia,"Melaka Historic City Council, Malaysia",Climate adaptation /resilience plan,2017
150,"Guadalajara Metropolitan Area, Mexico",Mexico,"Guadalajara Metropolitan Area, Mexico",Climate mitigation plan,2017
151,"Guadalajara Metropolitan Area, Mexico",Mexico,"Guadalajara Metropolitan Area, Mexico",Climate mitigation plan,2013
152,"Guadalajara Metropolitan Area, Mexico",Mexico,"Guadalajara Metropolitan Area, Mexico",Climate mitigation plan,2012
153,"Muncipality of Banderilla, Mexico",Mexico,"Muncipality of Banderilla, Mexico",,
154,"Municipality of León de los Aldamas, Mexico",Mexico,"Municipality of León de los Aldamas, Mexico",Climate mitigation plan,2019
155,"Municipality of León de los Aldamas, Mexico",Mexico,"Municipality of León de los Aldamas, Mexico",Climate adaptation /resilience plan,
156,"Municipality of Los Mochis, Mexico",Mexico,"Municipality of Los Mochis, Mexico",,2012
157,"Municipality of Los Mochis, Mexico",Mexico,"Municipality of Los Mochis, Mexico",,2014
158,"Municipality of Los Mochis, Mexico",Mexico,"Municipality of Los Mochis, Mexico",,2015
159,"Municipality of Mérida, Mexico",Mexico,"Municipality of Mérida, Mexico",,
160,"Municipality of Queretaro, Mexico",Mexico,"Municipality of Queretaro, Mexico",,
161,"Municipality of Tuxtla Gutiérrez, Mexico",Mexico,"Municipality of Tuxtla Gutiérrez, Mexico",,
162,"Municipality of Tuxtla Gutiérrez, Mexico",Mexico,"Municipality of Tuxtla Gutiérrez, Mexico",,
163,"Municipality of Tuxtla Gutiérrez, Mexico",Mexico,"Municipality of Tuxtla Gutiérrez, Mexico",,
164,"Municipality of Tuxtla Gutiérrez, Mexico",Mexico,"Municipality of Tuxtla Gutiérrez, Mexico",,
165,"Municipality of Tuxtla Gutiérrez, Mexico",Mexico,"Municipality of Tuxtla Gutiérrez, Mexico",,2014
166,"Quelimane Municipal Council, Mozambique",Mozambique,"Quelimane Municipal Council, Mozambique",Climate adaptation /resilience plan,2019
167,"City of Windhoek, Namibia",Namibia,"City of Windhoek, Namibia",,2008
168,"Oslo Municipality, Norway",Norway,"Oslo Municipality, Norway",Climate mitigation plan,2019
169,"Oslo Municipality, Norway",Norway,"Oslo Municipality, Norway",Climate adaptation /resilience plan,2013
170,"Karachi City District, Pakistan",Pakistan,"Karachi City District, Pakistan",Integrated climate plan,2017
171,"Karachi City District, Pakistan",Pakistan,"Karachi City District, Pakistan",Climate adaptation /resilience plan,2017
