,"Agriculture, forest and other land use",Industrial process and product use,Stationary energy,Transport,Waste management,city,country,inventory_type,Other
111,0.0,0.0,395322.89,187819.9379,198339.7003,"Municipality of San Miguel, Argentina",Argentina,Community inventories,
112,0.0,0.0,0.0,0.0,225858.68,"Municipality of San Miguel, Argentina",Argentina,Government operations inventory,0.0
113,0.0,0.0,522664.3071,373270.8974,109031.3128,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,Community inventories,
114,0.0,0.0,0.0,0.0,109031.31,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,Government operations inventory,0.0
115,221.6262855,0.0,4842.908075,6006.284841,1263.363362,"Municipality of Soldini, Argentina",Argentina,Community inventories,
116,0.0,0.0,0.0,0.0,1263.56,"Municipality of Soldini, Argentina",Argentina,Government operations inventory,50.35
117,8256.473233,0.0,94002.28611,8430.094935,38075.22432,"Municipality of Tafi Viejo, Argentina",Argentina,Community inventories,
118,0.0,0.0,0.0,0.0,34538.58,"Municipality of Tafi Viejo, Argentina",Argentina,Government operations inventory,0.0
119,64757.0,0.0,9119.0,15436.0,3938.0,"Municipality of Totoras, Argentina",Argentina,Community inventories,
120,0.0,0.0,0.0,0.0,3937.23,"Municipality of Totoras, Argentina",Argentina,Government operations inventory,0.0
121,3424.479695,0.0,1883.077788,4181.437372,571.6175218,"Municipality of Uranga, Argentina",Argentina,Community inventories,
122,0.0,0.0,0.0,0.0,571.61,"Municipality of Uranga, Argentina",Argentina,Government operations inventory,0.0
123,20125.51822,0.0,160496.4812,205234.8606,45483.62583,"Municipality of Venado Tuerto, Argentina",Argentina,Community inventories,
124,0.0,0.0,0.0,0.0,45483.630000000005,"Municipality of Venado Tuerto, Argentina",Argentina,Government operations inventory,0.0
125,7357.511896,0.0,22239.73916,26512.31105,6791.518382,"Municipality of Villa General Belgrano, Argentina",Argentina,Community inventories,
126,0.0,0.0,0.0,0.0,6791.51,"Municipality of Villa General Belgrano, Argentina",Argentina,Government operations inventory,0.0
127,0.0,0.0,0.0,0.0,0.0,"Municipality of Villa Pehuenia, Argentina",Argentina,Community inventories,
128,0.0,0.0,512125.0,3978.0,47550.0,"Adelaide City Council, Australia",Australia,Community inventories,
129,0.0,0.0,0.0,0.0,0.0,"Australian Capital Territory Government, Australia",Australia,Community inventories,
130,0.0,0.0,0.0,40633.11,0.0,"Australian Capital Territory Government, Australia",Australia,Government operations inventory,0.0
131,27636.0,0.0,235662.0,95004.0,0.0,"Byron Shire Council, Australia",Australia,Community inventories,
132,0.0,0.0,0.0,0.0,0.0,"Byron Shire Council, Australia",Australia,Government operations inventory,0.0
133,0.0,0.0,0.0,0.0,0.0,"City of Joondalup, Australia",Australia,Community inventories,
134,0.0,0.0,0.0,0.0,0.0,"City of Joondalup, Australia",Australia,Government operations inventory,0.0
135,0.0,0.0,0.0,0.0,0.0,"City of Mandurah, Australia",Australia,Community inventories,
136,0.0,0.0,0.0,0.0,0.0,"City of Mandurah, Australia",Australia,Government operations inventory,3094.0
137,0.0,0.0,563825.405,352558.0725,264706.5476,"City of Melville, Australia",Australia,Community inventories,
138,0.0,0.0,4563794.0,895105.0,308037.0,"City of Sydney, Australia",Australia,Community inventories,
139,0.0,0.0,0.0,2373.0,0.0,"City of Sydney, Australia",Australia,Government operations inventory,5996.0
140,0.0,0.0,135631606.3,335941.8797,137957.7417,"City of Yarra, Australia",Australia,Community inventories,
141,0.0,0.0,0.0,0.0,39.0,"City of Yarra, Australia",Australia,Government operations inventory,0.0
142,0.0,0.0,0.0,0.0,0.0,"Moreland City Council, Australia",Australia,Community inventories,
143,0.0,0.0,0.0,0.0,0.0,"Mornington Peninsula Shire Council, Australia",Australia,Community inventories,
144,0.0,0.0,0.0,0.0,0.0,"Mornington Peninsula Shire Council, Australia",Australia,Government operations inventory,0.0
145,0.0,0.0,1244841.74,543867.6716,451468.0739,"Penrith City Council, Australia",Australia,Community inventories,
146,0.0,0.0,0.0,0.0,0.0,"Port Phillip City Council, Australia",Australia,Community inventories,
147,0.0,0.0,0.0,911.0,0.0,"Port Phillip City Council, Australia",Australia,Government operations inventory,0.0
148,0.0,0.0,541420.0,269613.0,68915.0,"Tweed Shire Council, Australia",Australia,Community inventories,
149,0.0,0.0,928575.0,290165.0,0.0,"City of Graz, Austria",Austria,Community inventories,
150,0.0,0.0,2324000.0,848000.0,0.0,"Brussels Capital Region, Belgium",Belgium,Community inventories,
151,0.0,243573.0,2283115.0,1040551.0,0.0,"City of Antwerp, Belgium",Belgium,Community inventories,
152,0.0,0.0,0.0,9318.0,0.0,"City of Antwerp, Belgium",Belgium,Government operations inventory,0.0
153,8740.0,0.0,8667526.0,430477.0,0.0,"City of Ghent, Belgium",Belgium,Community inventories,
154,0.0,0.0,0.0,2173.0,0.0,"City of Ghent, Belgium",Belgium,Government operations inventory,0.0
155,0.0,0.0,0.0,0.0,0.0,"City of Mechelen, Belgium",Belgium,Government operations inventory,0.0
156,0.0,0.0,121564.0,70032.0,0.0,"City of Mouscron, Belgium",Belgium,Community inventories,
157,1224.0,141301.0,0.0,0.0,38704159.0,"City of Mouscron, Belgium",Belgium,Government operations inventory,0.0
158,0.0,0.0,870296.0,2635669.0,1072899.0,"Municipality of Belo Horizonte, Brazil",Brazil,Community inventories,
159,0.0,0.0,0.0,0.0,10759.77,"Municipality of Belo Horizonte, Brazil",Brazil,Government operations inventory,0.0
160,0.0,0.0,381172.0,1168203.0,167526.0,"Municipality of Betim, Brazil",Brazil,Community inventories,
161,1046.0,0.0,526348.0,2974119.0,632350.0,"Municipality of Curitiba, Brazil",Brazil,Community inventories,
162,0.0,51733.0,471432.0,852893.0,78596.0,"Municipality of Duque de Caxias, Brazil",Brazil,Community inventories,
163,0.0,0.0,988453.0,1185359369.0,1551052.0,"Municipality of Fortaleza, Brazil",Brazil,Community inventories,
