,name,country,population,adhesion_date,latitude,longitude,url,ACTION,MONITOR
2228,Dosolo,Italy,3449,30/09/2011,44.954601287842,10.6422996521,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=14672,1,1
2229,Dovadola,Italy,1690,"Castrocaro Terme e Terra del Sole ,Santa Sofia,Rocca San Casciano,Bertinoro ,Dovadola,Tredozio,Galeata,Modigliana,Forlimpopoli ,Predappio,Meldola, Premilcuore,Forlì,Civitella di Romagna,Portico e San Benedetto",44.121650695801,11.887379646301,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16974,1,1
2230,Dovera,Italy,3938,30/11/2013,45.365009307861,9.5368204116821,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17711,1,1
2231,Dozza,Italy,6587,"Castel Guelfo,Mordano,Imola,Casalfiumanese,Fontanelice,Borgo Tossignano,Dozza,Castel del Rio,Comune di Medicina,Comune di Medicina,Castel San Pietro Terme",44.359382222537,11.62859916687,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20730,1,1
2232,Dozón,Spain,1100,26/10/2020,42.56678329597,-8.0462837219238,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27864,1,1
2233,Drabivetska amalgamated territorial community,Ukraine,6940,17/12/2019,49.780835623842,32.041170100586,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27555,1,1
2234,Dragasani,Romania,20497,28/12/2012,44.650001525879,24.270000457764,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16448,0,1
2235,Draguseni,Romania,1602,10/03/2011,46.90034866333,27.512050628662,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15936,1,1
2236,Drarga,Morocco,70793,20/02/2018,31.462999343872,7.0430002212524,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20472,1,1
2237,Drienovec,Slovakia,2152,10/12/2012,48.607738494873,20.952129364014,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16884,1,1
2238,Drizzona,Italy,542,22/02/2014,45.141708374023,10.351849555969,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17956,1,1
2239,Drochia,"Moldova, Republic Of",87083,21/10/2010,48.031200408935,27.828699111939,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13652,1,1
2240,Drogenbos,Belgium,5092,21/04/2016,50.786609649658,4.3176398277283,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19776,0,1
2241,Drohobych,Ukraine,76702,24/01/2018,49.34833908081,23.511009216309,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20429,1,1
2242,Dronero,Italy,7254,"Roccabruna,Villar San Costanzo,Dronero",44.467208862305,7.3630499839783,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18037,1,1
2243,Dropolis,Albania,23000,30/03/2016,39.895519256592,20.347240447998,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19662,1,1
2244,Druzhkivka,Ukraine,67381,27/09/2017,48.616191864014,37.527221679688,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19202,1,1
2245,Dualchi,Italy,684,"Birori,Bortigali,Sindia,Silanus,Lei,Bolotana,Borore,Macomer,Noragugume,Dualchi",40.230018615723,8.8975200653076,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15467,1,1
2246,Dubino,Italy,3549,27/02/2013,46.153579711914,9.4564695358276,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16633,0,1
2247,Dubliany,Ukraine,10795,07/05/2014,49.896110534668,24.092500686646,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18097,1,1
2248,Dubove,Ukraine,1454,31/03/2017,51.265289306641,24.683130264282,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20125,1,1
2249,Dubăsarii Vechi,"Moldova, Republic Of",6050,30/07/2017,47.133888244629,29.197780609131,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20373,0,1
2250,Dudelange,Luxembourg,21900,13/07/2018,49.478702587284,6.0843951287722,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27200,0,1
2251,Dudestii Noi ,Romania,2779,14/11/2011,45.502101898193,21.060199737549,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=14861,1,1
2252,Due Carrare,Italy,9078,28/04/2014,45.293598175049,11.819140434265,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18127,1,1
2253,Duesaigües,Spain,246,06/08/2014,41.146141052246,0.93072998523712,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18527,1,1
2254,Duhok,Iraq,1592373,14/11/2017,36.859635126922,42.986287762741,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20369,1,1
2255,Duisburg,Germany,492870,22/03/2010,51.435600280762,6.761109828949,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13040,1,1
