"adhesion_date","country","latitude","longitude","name","population","url"
"05/02/2010","Greece",37.936698913574,23.733200073242,"Agios Dimitrios",70000,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2778"
"09/09/2014","Italy",45.169998168945,11.956789970398,"Agna",3405,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8647"
"28/11/2011","Italy",41.810478210449,14.378609657288,"Agnone",5253,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=5035"
"15/04/2010","Italy",45.650798797607,10.352100372314,"Agnosine",1875,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3138"
"30/10/2014","Spain",38.439208984375,-0.63849002122879,"Agost",4752,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8677"
"30/05/2016","Greece",39.630001068115,21.423700332642,"Agrafa",14365,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9729"
"25/10/2012","Spain",41.787189483643,1.0979800224304,"Agramunt",5735,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=6337"
"12/04/2010","Italy",45.575500488281,9.3510704040527,"Agrate Brianza",15035,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2981"
"01/04/2010","Spain",38.779998779297,-0.51552999019623,"Agres ",583,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3029"
"07/03/2016","Greece",38.62377166748,21.409589767456,"AGRINIO",92608,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9502"
"24/06/2010","Spain",37.030601501465,-3.8297200202942,"Agrón",342,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3364"
"21/03/2013","Italy",40.348678588867,14.991220474243,"Agropoli",35823,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3556"
"09/09/2013","Cyprus",34.5458984375,33.180000305176,"Agros",806,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7450"
"23/07/2009","Spain",37.25350189209,-4.9151000976562,"Aguadulce",2169,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2168"
"12/11/2008","Portugal",40.575500488281,-8.4456996917725,"Águeda",49456,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2017"
"09/07/2008","Spain",41.739799499512,1.628280043602,"Aguilar de Segarra",257,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=1624"
"24/02/2011","Spain",37.403800964355,-1.5811599493027,"Águilas",35262,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3944"
"05/05/2012","Spain",42.392589569092,2.846489906311,"Agullana",900,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=5586"
"18/04/2016","Spain",46890,-0.5494099855423,"AGULLENT",2395,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9632"
"23/01/2013","Italy",45.639430999756,9.4138202667236,"Aicurzio",2087,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=6426"
"09/03/2011","Italy",42.081890106201,13.591569900513,"Aielli",1448,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=4044"
"31/07/2013","Italy",39,16,"Aiello Calabro",2017,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7454"
"06/09/2016","Spain",38.882110595703,-0.34365999698639,"AIELO DE RUGAT",200,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9980"
"09/10/2008","Greece",37.990398406982,23.683500289917,"Aigaleo",120000,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=1802"
"06/02/2015","Greece",38.249591827393,22.080759048462,"AIGIALEIA",49872,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8857"
"07/02/2012","Spain",41.763389587402,2.2509100437164,"Aiguafreda",2505,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=5128"
"09/04/2015","Spain",41.329830169678,1.3586499691009,"Aiguamúrcia",909,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9092"
"03/09/2015","Spain",41.938251495361,2.761960029602,"Aiguaviva",765,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9185"
"27/04/2010","Spain",38.401100158691,-0.43612000346184,"Aigües",984,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3250"
"26/04/2014","Spain",41.814071655273,-1.5172300338745,"AINZÓN",1214,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8138"
"20/09/2010","Italy",41.059600830078,14.555600166321,"Airola",8140,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3699"
"26/03/2013","Italy",45.75373840332,9.4252099990845,"Airuno",2994,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7030"
"31/05/2016","Spain",41.293598175049,0.27340000867844,"Aitona",2456,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9715"
"28/08/2008","Romania",46.309799194336,23.715700149536,"Aiud",28934,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=1875"
"19/07/2012","Spain",42,2.641429901123,"AJUNTAMENT D'ARGELAGUER",430,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=5913"
"26/04/2013","Spain",41.868968963623,2.417140007019,"Ajuntament d'Espinelves",201,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=6811"
"16/02/2017","Spain",42.344711303711,3.0652298927307,"AJUNTAMENT DE GARRIGUELLA",854,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10079"
"21/06/2017","Spain",42.515609741211,1.245120048523,"AJUNTAMENT DE TIRVIA",116,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10309"
"11/12/2017","Spain",41.446979522705,41.446979522705,"Ajuntament de Torrelavit",1414,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10394"
"05/06/2017","Spain",41.390270233154,1.6635899543762,"Ajuntament de Vilobí del Penedès",1103,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10202"
"31/10/2014","Georgia",41.638519287109,42.987609863281,"Akhaltsikhe",19200,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8750"
"14/03/2017","Armenia",40.969841003418,44.490009307861,"Akhtala",2753,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10116"
"26/10/2011","Lithuania",56.322299957275,22.87859916687,"Akmene district municipality",25729,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=4626"
"29/11/2012","Bulgaria",43.246341705322,27.811889648438,"Aksakovo",8600,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7011"
"01/07/2013","Spain",41.244869232178,-1.1641000509262,"ALADREN",67,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7128"
"13/01/2009","Spain",37.874500274658,-6.6657900810242,"Alájar",802,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=1625"
"21/12/2009","Spain",37.207801818848,-4.6580700874329,"Alameda",5426,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3064"
"28/07/2009","Spain",38.037700653076,-5.7151598930359,"Alanis de la Sierra",1900,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2411"
"29/11/2010","Italy",42.294898986816,13.971699714661,"Alanno",3679,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3795"
"29/09/2014","Italy",45.903270721435,11.905139923096,"Alano di Piave",2881,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8424"
