"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
1087,30000,"Energy optimization in municipal buildings.",2015,2007,"","Spain","en","Morón de la Frontera"
898,80000,"Energy audits, energy efficiency improvement and co",2020,2012,"","Spain","en","Morón de la Frontera"
648,258000," Installation of biomass boilers in municipal facilities: Diesel boiler from schools and sports and propane boilers from indoor pool.",2020,2015,"","Spain","en","Morón de la Frontera"
70.61,85000,"Oltre all'installazione di lampade ad alta efficienza e dei regolatori di flusso, è stato riqualificata un'intera linea della rete di pubblica illuminazione situata in C.da Cerri nel comune di Moscufo.",2016,2013,"","Italy","it","Moscufo"
658.36,1300000,"Il servizio prevede la raccolta porta a porta delle frazioni di rifiuti organica, indifferenziata, imballaggi in carta, imballaggi in vetro, imballaggi in plastica e alluminio, pile, farmaci, contenitori Te/oF, legno, scarti verdi, rifiuti ingombranti, spazzamento e pulizia strade.",2020,2013,"","Italy","it","Moscufo"
115.92,640000,"Installazione di un impianto solare fotovoltaico ad inseguitori della potenza nominale di 190,56 kWp per la produzione di energia elettrica. L'impianto è stato realizzato presso il campo sportivo comunale.",2013,2013,"","Italy","it","Moscufo"
7.6,NA,"I percorsi ciclopedonali nel territorio",2012,2007,"","Italy","it","Mossano"
NA,NA,"Formazione nelle scuole",2020,2015,"","Italy","en","Mossano"
894,NA,"Impianti fotovoltaici",2020,2007,"","Italy","en","Mossano"
NA,150000,"Integrated action for dissemination of scientific and technological knowledge with social and technological approach. It starts from the principle of universality of knowledge, through involvement of local communities tools, teacher and students training and awareness of public and private actors to the importance of innovation and technological development and R&D projects, about local energy potential. It is aimed at three target groups: students (all levels of education) with programs tailored to specific ages and levels of knowledge; primary school teachers, secondary and vocational and other educators: the community at large, in a direct and insightful approach to energy, with a special focus on solar energy. The activities are based on a cross-factor: experimentation, as a potential demonstration, use and easy perception, using models and monitoring systems and data logging. ",2020,2013," www.logica-em.com/experimentaenergia ","Portugal","pt","Moura"
NA,945000,"Building with an integrated development system to address and support the demonstration of sustainability, in terms of construction and operation, through the integration of energy recovery technologies from renewable energy sources, generating energy autonomy, with the maximum reduction of CO2 emissions, to be a Zero emissions building.
In the construction process there was special attention to eco materials and less effort transport. The construction techniques are semi-burial for part of the building. The insulation is made with high quality materials and glazing dimensions carefully calculated. The building's air conditioning is done through an innovative system by geothermal energy. Is installed in the south facade, a pv plant. A monitoring system of the building was installed for evaluation of building energy performance, indoor air quality and energy production and consumption.
",2015,2011," www.logica-em.com ","Portugal","pt","Moura"
NA,970000,"This initiative was part of the intended installation and development of a set of technological infrastructure in Moura’s County, related to renewable energies, able to provide a scientific and technological diffusion environment that may arise as a lever of the statement and consolidation the Moura’s Technology Park. These infrastructures are a set of equipment and facilities required to establish a unit of micro-generation of electricity from renewable sources. Participated in program sixty individuals, companies, public and non-profit private institutions, with the installation of production units, with a total power of 215 KW and a total production of 902 MW (between 2010 and 2013). The Fund worked as a support, without interest, of 70% for the wiring.",2011,2008," www.logica-em.com ","Portugal","pt","Moura"
14,45000,"Strengthening
of municipal buildings
solar thermal.",2020,2015,"","Italy","en","Mozzanica"
81,350000,"Strengthening
of municipal buildings
photovoltaic systems.",2020,2013,"","Italy","en","Mozzanica"
425,2000,"Attachment energy to building regulations.",2020,2012,"","Italy","en","Mozzanica"
3012.98,1500,"2016 collaborazione nella redazione  e aggiornamento dell'Allegato energetico al regolamento edilizio con  la società di consulenza in ambito energetico E-Fase S.r.l.",2016,2012,"","Italy","it","Mozzo"
262.91,22632,"con determina 350/del 2012 è stata istituita la zona 30 in via Piatti. Questo tipo di azione consente di disciplinare il traffico veicolare, aumentando la sicurezza dei pedoni e limitando le emissioni di CO2 derivanti dall’utilizzo delle autovetture.",2020,2012,"","Italy","it","Mozzo"
12.77,213040,"Dal 2005 ad oggi sono stati eseguiti cospicui interventi di riqualificazione dell'illuminazione pubblica e ne dovranno essere eseguiti ancora altri. Sono stati distinti gli interventi finora fatti in tre lotti:
1° lotto: sostituzione di 306 armature stradali e 31 globi luminosi al mercurio;
2° lotto: sostituzione di 281 armature stradali e 46 globi luminosi al mercurio;
3° lotto: sostituzione di 317 armature stradali e 36 globi luminosi al mercurio, ricablaggio di 17 lampade, rifacimento quadro H con predisposizione di attenuatore di corrente e modifica quadro D con sostituzione di linee elettriche.

E' stata eseguita anche la sostituzione delle lampade votive con lampade a LED. L'intervento è stato effettuato da una ditta privata.
",2015,2005,"","Italy","it","Mozzo"
27.63,280598.72,"Anno 2016 Sostituzione serramenti della scuola secondaria di primo grado € 222056;

Anno 2014 Sostituzione caldaia con nuovo modello € 40000.00 presso la scuola secondaria di primo grado;

Anno 2016 Installazione di valvole termostatiche presso la scuola secondaria di primo grado € 606,00

Anno 2016 affidamento incarico per progetto riqualificazione involucro scuola secondaria primo grado € 8872.72",2020,2012,"","Italy","it","Mozzo"
12.65,6970,"La scelta voluta e attuata dall'Amministrazione Comunale di installare la Casetta dell’Acqua è stata molto apprezzata dai cittadini di Mozzo:
•	dal 18-06-2014 al 30-11-2014 (165 gg) litri erogati 48.000 (media giornaliera di 290.9 litri),
•	dal 1-12-2014 al 30-04-2015 (150 gg) litri erogati 60.000 (media giornaliera di 400 litri).
Il tutto si traduce in:
•	72000 bottiglie di pet in meno in poco meno di un anno,
•	risparmio economico per i cittadini,
•	alleggerimento della tassa sullo smaltimento dei rifiuti (plasitca e vetro),
•	salvaguardia dell'ambiente,
•	educazione ambientale,
•	acqua buona e controllata, 
•	assenza di costi di gestione della casetta stessa perché sono a carico del fornitore.
",2015,2012,"","Italy","it","Mozzo"
1219,1800000,"Impanto a biogas della  Società Cooperativa Agricola B.B.P. L’alimentazione è costituita in larga prevalenza dai reflui zootecnici (liquame e letame bovino) e insilati di cereali (cereali primaverili mais/sorgo e   cereali autunno-vernini frumento/triticale) apportati dai soci conferenti che utilizza sottoprodotti  dell’allevamento  e della coltivazione. L’utilizzo di altre  biomasse  (quali, biomasse sfarinate, biomasse liquide -melasso, glicerine, oli vegetali, sanse di olive- e sottoprodotti -residui della lavorazione di frutta, verdura, agro-industria e industrie connesse-) servirà ad integrazione.  L’energia elettrica prodotta dalla cogenerazione verrà totalmente immessa nella rete pubblica ",2013,2012,"","Italy","it","Mulazzano"
5.2,3700,"Nel 2010 sono state sostituite tutte le lampade votive presenti nei tre cimiteri di Mulazzano  (capoluogo e frazioni di Quartiano e Cassino d’Alberi), a carico della società I.VO.C. Impianti srl che ha in gestione l’illuminazione votiva. Al 2005 erano presenti in tutto 1'537 lampade ad incandescenza da 1,6W, tutte sostituite con lampade  LED da 0,6W.",2012,2010,"","Italy","it","Mulazzano"
1736,2200000,"Considerando la potenzialità dell’azienda e dell’allevamento è stato possibile dimensionare un impianto di produzione di biogas  provvisto di un  gruppo di cogenerazione da 526 kWe, per una produzione annua stimata in 4'280 MWh.
Le caratteristiche qualitative e quantitative delle matrici in ingresso ipotizzate per l’alimentazione dell’impianto di biogas, sono  silomais, liquame bovino, letame bovino e acqua di ricircolo per una quantità giornaliera pari a 71 ton circa
",2012,2012,"","Italy","en","Mulazzano"
NA,225000,"To support families „Go!Family“ offers a multimodal package to parents to be and parents of newborn babies (appr. 15000 newborn babies in Munich per each year). Participants can choose between three offers:
test a bike trailer for children optionally with pedelec for one week for free and get a sales discount
get a monthly ticket for the public transport for half the normal price
try carsharing for one year with a special tariff
There's also lots of information material about all mobility topics to be sent to the participants for free.
As life events such as childbirth can open a window of opportunity for change in travel behavior “Go!Family” offers alternatives to private car use.  With the opportunity to test sustainable modes of transport easily “Go!Family” helps young families to pursue an eco-friendly lifestyle and therefore contribute to climate protection.",2017,2013," https://www.gscheid-mobil.de/gofamily/ ","Germany","en","München"
NA,NA,"tbd",2017,2013," http://www.muenchen.de/ihkm ","Germany","en","München"
4184,60000,"Two information campaigns on energy efficient lighting and cooling took place. Altogether there were 6 half day eventswhere representatives of companies, academia and science, consultancies and further relevant institutions presented specific information and best practise cases to the audience. Companies of all sizes were reached. A survey after each event revealed that frequently an analysis of the energy saving potential by investment in new lighting and cooling systems was planned. Moreover, about 50 % of the respondents already plan investments in energy efficiency, e.g. LED lighting. Also, the adaptation of existing systems to higher energy efficiency standards was planned in about 50 % of cases. All companies stated that the presented information increased their level of information. Some of the presenters organised site visits to the best practise cases shown during the events.",2017,2013," www.muenchen.de/energie-effizienz ","Germany","en","München"
57110,12500000,"The aim of ECOPROFIT is to improve environmental protection in companies and to save costs at the same time through the implementation of specific measures, e.g. reduction in waste production, emissions, and the consumption of resources and energy. 
Following the example set by the companies that took part in the beginners’ programmes, 23 new companies joined ECOPROFIT in the round 2013/14. 33 companies participated in the ECOPROFIT club programme and continued to improve their environmental and competitive performance. Annual benefits for these 56 companies:  all those measures save 14.9 million kWh of electricity, heat and fuel (this means a reduction of 7,900 tons of CO2). Waste production is reduced by 300 tons, the use of raw materials has decreased by 21 tons and more than 223 million litres of water are saved. As a result, the companies expect savings of nearly 2.1 million Euro.",2017,2013," www.muenchen.de/oekoprofit ","Germany","en","München"
5700,70800000,"Within the municipal building stock, energetic renovation activities have the biggest potential for reducing CO2 emissions. Funds for this measure with an annual sum of 23.6 million Euro approved by the City Council in 2012. The Special programme: Energy efficient building envelope and heating renovation („EGuH“) measure is an important element of the comprehensive action programme of the Building Department (a detailled description can be found in the energy management report on page 10). The energetic renovation activies for the municipal building stock include:
* measures to reduce the heat loss (transmission heat loss) through walls (e.g. thermal insulation of walls or roofs) and accompanying actions / structural adjustments
* energetic enhancements of domestic installations and necessary structural adjustments
* measures in order to improve the protection against summer overheating",2017,2010," http://www.muenchen.de/ihkm, http://www.muenchen.de/energiemanagement ","Germany","en","München"
28.4,54927,"El objetivo general de las auditorías se resume en analizar las necesidades energéticas de los edificio, integrando a todos los equipos y sistemas que forman parte de él y
proponer soluciones de mejora en materia de ahorro de energía y de incorporación de
nuevas energías que sean viables técnica y económicamente.",2015,2013,"","Spain","es","Mungia"
20.8,43478,"Implementation of selective collection of organic matter and home composting in the municipality of mungia",2020,2015,"","Spain","es","Mungia"
159.65,69933,"Se trata de la instalación de 100 plazas el aparcamiento rotatorio del centro urbano de Mungia",2016,2014,"","Spain","es","Mungia"
100,130000,"energy efficiency with photovoltaic systems in three schools in the municipality",2014,2013,"","Greece","en","Municipality of Chalkidona"
2000,15000,"conversion from gas to LPG and puschasal of 2 eco-vehicles",2020,2014,"","Greece","en","Municipality of Chalkidona"
1000,1600000,"energy efficiency of the municipal swimming pool",2020,2014,"","Greece","en","Municipality of Chalkidona"
NA,40000,"Netzwerk für Unternehmen, die in ihrem Unternehmen aktiv im Klimaschutz sind",2020,2010," www.klima.muenster.de ","Germany","de","Münster"
NA,350000,"Förderprogramm für Altbausanierung seit 1997",2020,2012," www.klima.muenster.de ","Germany","de","Münster"
NA,NA,"Passivhausstandard",2020,2012,"","Germany","de","Münster"
5,67418,"Implementação de coletores solares térmicos no Centro Escolar de Murça e no Pavilhão Desportivo de Murça para o aquecimento de águas sanitárias.",2020,2009,"","Portugal","pt","Murça"
102,21600,"Reformulação da ligação entre a EN15 e a E.R.314, procedendo à requalificação de cerca de 1km de rede viária e à instalação de iluminação LED.",2020,2009,"","Portugal","en","Murça"
3.7,1251620.57,"Criação do Parque Urbano de Murça, visando a requalificação de uma área urbana abandonada e a disponibilização de um espaço de vivência do ambiente urbano e de usufruto da natureza.",2020,2009,"","Portugal","pt","Murça"
5330,6e+06,"El inventario en 2015 de infraestructuras de la bicicleta en el municipio de Murcia es el siguiente:
• 158,48 km de vías ciclables y carril bici. 
• 9 aparcabicis cerrados 
• 1 aparcabicis cerrado inteligente 
•	157 aparcabicis en horquilla

De los carriles bici la tipología es la siguiente: CARRIL BICI (121,72 km), CICLOCALLE (8,79 km), VÍA AMABLE (26,57 km), VÍA VERDE (1,39 km)
",2020,2009," http://www.oficinabicicletamurcia.info/ ","Spain","es","Murcia"
63.82,60000,"En el barrio de Santa Eulalia  se ha renovado el alumbrado público dotándolo con tecnología LED.
Se quiere dotar a todos los puntos de luz instalados de un sistema de Telegestión que permita, desde el puesto de control en el Edificio de Servicios de Abenarabi, controlar el horario de funcionamiento, la intensidad luminosa y las incidencias que se produzcan en la instalación de alumbrado público.
Instalación anterior: 380 puntos con una potencia total de 47,08 kw.
Instalación nueva LED: 360 puntos con una potencia de 20,66 kW.
Mediante la regulación a través de la telegestión, se obtiene una potencia instalada equivalente de 12,94227 kW. Es decir la regulación permite una disminución de potencia nominal del 48%.",2016,2014," http://alumbradopublicomurcia.es/22-renovaci%C3%B3n-alumbrado-p%C3%BAblico-en-el-barrio-de-santa-eulalia ","Spain","es","Murcia"
1206,8159599,"El programa se lleva a cabo por las CC.AA a las que el Ministerio de Industria, a través del IDAE, transfiere los fondos anualmente para su aplicación.
El programa financia a los ciudadanos la adquisición de frigoríficos, congeladores combinados, lavadoras, hornos y lavavajillas con etiqueta energética de clase A (alta eficiencia energética) respecto al mismo de clase D (eficiencia energética media) que consume menos de la mitad de energía para realizar la misma función, y encimeras de inducción y de gas
Se ha estimado un consumo por hogar medio en Murcia de 4.000 kWh/año. Suponiendo que los electrodomésticos son responsables del 12% del consumo del hogar, esto supone un total de 480 kWh/año. 
El Plan Renove de electrodomésticos se celebró del 2006 al 2010 ",2010,2006,"","Spain","es","Murcia"
10000,2e+05,"Es un proyecto que engloba las campañas de concienciación en el consumo responsable de energía que realiza el Ayuntamiento de Murcia, en diversos ámbitos tales como: ahorro energético en edificios municipales, ahorro energético en hoteles, ahorro energético en el hogar, promoción del uso de la bicicleta.
Mediante diversas campañas, seminarios, jornadas y publicaciones se fomenta el uso racional de la energía en la ciudad de Murcia.",2020,2008," www.energiamurcia,es / www.oficinabicicletamurcia.info ","Spain","es","Murcia"
314,166000,"Realizadas un total de 47 auditorías energéticas por el Servicio ALEM en edificios municipales durante 2008. 12 instalaciones deportivas, 11 colegios y escuelas infantiles, 3 museos, 3 plazas de abastos, 4 bibliotecas, 3 centros culturales y sociales, 4 cuarteles de la policía local, protección civil y bomberos, 7 edificios de oficinas.
En concreto en las auditorías realizadas por ALEM destaca la renovación del sistema de gestión centralizada del palacio de los deportes que supuso un ahorro de 50.000€ al año en climatización.
Las 9 auditorías ejecutadas en EMUASA en 2008 supusieron un ahorro de 156,6tCO2/año. ",2011,2008,"","Spain","es","Murcia"
5200,752860,"MUyBICI promotes the use of bicycles as a clean, efficient and healthy mean of transport in the city.
Its target is to cover small displacement occur daily within the city. With initially 60 parking stations, 600 bicycles and 1200 parking points, the system works on reducing the use of private car and try to improve other non-motorized means of transport such as public transport, moving on foot or private bicycle itself. 
MUyBICI encourages the use of clean energy using five parking stations powered by solar photovoltaic and five charging points for electric bikes. Bicycles are transported from one parking station to another using an electric vehicle- zero CO2 emissions. That allows so far to reduce 4.800 kilograms/year of CO2, compared to a conventional vehicle. ",2015,2013," www.oficinabicicletamurcia.info / http://muybici.labici.net/index.php ","Spain","en","Murcia"
254,180000,"The project is co-funded by the European Commission within the CIP ICT Policy Support Programme.
The project objective is to enable public authorities in Europe significantly to improve their management of energy in the buildings they occupy. 
Murcia is participating in the project with 6 municipal buildings: Murcia City Council, Annex Building, Police Building, Firemen Building, Civil Protection and Fines Building. 
The aim of the project is to reduce 20% of energy consumption, carbon emissions and improve energy efficiency. Users of buildings (staff, visitors and professionals) will be encouraged to improve their energy habits and behavior helped by ICT technologies.",2015,2012," http://smartspaces.energiamurcia.es/ - http://www.smartspaces.eu/ ","Spain","en","Murcia"
216.03,400,"INSTALLATION OF SOLAR HEAT IN EXISTING BUILDINGS",2012,2008,"","Spain","en","Muro de Alcoy"
16.15,58747.52,"REPLACEMENT OF INTERIOR BUILDING LIGHTS WITH LED",2013,2013,"","Spain","en","Muro de Alcoy"
6.55,1500,"CONSUMPTION MONITORING AND MAINTENANCE OF AIR CONDITIONING EQUIPMENT",2020,2008,"","Spain","en","Muro de Alcoy"
101.3,7977,"Application of the municipal Energetic Optimization Plan",2020,2012,"","Spain","en","Murtas"
98,73416,"Implementation of energy saving measures in the public lighting system application of the municipal Energetic Optimization Plan",2020,2008,"","Spain","en","Murtas"
13.05,30000,"Measures of water saving irrigation and managementof green areas consisting of 1651984.2 m2 of gardens that will change night time irrigation watering at night and shadows",2020,2008,"","Spain","en","Murtas"
1010.34,823317,"Piano urbano della mobilità",2020,2006,"","Italy","en","Musile Di Piave"
71.09,126412,"Sostituzione corpi illuminanti",2020,2015,"","Italy","it","Musile Di Piave"
176.28,574000,"Sviluppo mobilità<U+0085> pedonale/ciclabile (es. piste ciclabili, parcheggi biciclette, zone pedonali, piedibus, bike sharing)",2020,2005,"","Italy","it","Musile Di Piave"
4.77,20,"20  PENCIL CASES ""El camino lo haces tú""",2012,2012,"","Spain","en","Mutxamel"
1.6,2830.07,"SISTEMA DE CONTROL CALDERA Y MOD CIRCUITOS HIDRÁULICOS",2014,2014,"","Spain","en","Mutxamel"
1.97,8265.58,"SISTEMAS DE CONTROL CALDERAS Y MEJORAS AISLAMIENTO",2014,2014,"","Spain","en","Mutxamel"
142428,357,"Transportation planning ",2030,2010,"","France","en","NANTES METROPOLE"
40000,NA,"Modal shift to public transport and soft mobility",2010,2000,"","France","en","NANTES METROPOLE"
83700,NA,"Refurbish housing ",2030,2010,"","France","en","NANTES METROPOLE"
60000,NA,"District heating dévelopment",2020,2010,"","France","en","NANTES METROPOLE"
20000,1500000,"The action is about a bike line crossing the intire city, for about 20 km from Bagnoli to Garbaldi square. ",2015,2012," http://www.comune.napoli.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/19883 ","Italy","en","Napoli"
40000,2.8e+09,"The actions are about the completion of two subway lines. 
In particular, the M1 subway line covers all the historical centre, the hospital area and the outskirts until the airport (an extra-urban area). The stations were designed by famours international architects and were awarded by international boards.",2020,2012," http://www.metropolitanadinapoli.it/ ","Italy","en","Napoli"
966,8e+05,"The power plant is based on the water drop of 45 m between the two springs of Serino.",2011,2009,"","Italy","en","Napoli"
3.4,16246,"Savings and energy efficiency (2 actions)",2016,2009,"","Spain","en","Navas de San Juan"
780.23,449219,"Renewable energy installations (80 actions)",2016,2009,"","Spain","en","Navas de San Juan"
13.33,21192,"Energy-efficient facilities in the building",2016,2014,"","Spain","en","Navas de San Juan"
90.68,340181.6,"Substitució de les calderes de gas natural i gas-oil de les instal·lacions municipals de la Residència d'avis (gas natural), de l'Ajuntament de Navàs (gas-oil), de l'escola de música (gas-oil) i de l'Institut escola Sant Jordi (gas natural) per funcionar amb calderes d'estella.

L'estella s'ha obtingut de la gestió dels boscos de la Catalunya Central.",2020,2009,"","Spain","ca","Navas"
278,26594.99,"Instal·lació de plaques solars fotovoltaiques per consum de la pròpia escola.",2020,2009,"","Spain","ca","Navas"
46.61,4616.51,"Substitució de les lluminàries de les oficines de l'ajuntament de Navàs per lluminàries més eficients (tubomax)",2020,2009,"","Spain","ca","Navas"
NA,4500,"Cada any, un diumenge del mes d'octubre se celebra la ECOFIRA. S'hi realitzen tallers relacionats amb medi ambient i energia, hi ha expositors (de biomassa, noves tecnologies...). Posen a disposició de la gent informació relativa a temes ambientals i energètics.",2020,2013,"","Spain","ca","Navata"
4.39,19404,"There are 4 street lighting boxes with a remote energy management system that allows an effcient control consume.",2015,2013,"","Spain","en","Navata"
40.86,95560,"S'ha instal·lat una caldera de biomassa que dona servei a l'escola, els vestuaris del camp de futbol i al pavelló de l'escola.Funciona amb estella i té una potència de 100 kW. Dóna calefacció a l'escola i al pavelló, i ACS als vestuaris i al pavelló. ",2015,2013,"","Spain","ca","Navata"
74.91,284350,"Installazione di impianti fotovoltaici da 1 kWpicco per n°129 unità abitative",2020,2013,"","Italy","it","Navelli"
276.57,328417,"Sostituzione di generatori di calore a combustibili fossili con caldaie a biomasse per il riscaldamento
di n°105 unità abitative",2020,2013,"","Italy","it","Navelli"
11.17,50000,"Sostituzione di 98 punti luce a vapore di sodio di potenza pari a 100 W con altrettante lampade a LED da 40 W",2011,2011,"","Italy","it","Navelli"
151,NA,"Realizzazione di un impianto Fotovoltaico da 20 kW sull’ Edificio Scolastico G. Mazzini in attuazione del finanziamento Europeo del PIT RL074 Misura 321. L’energia prodotta da tale impianto permetterà di allacciare anche il Municipio ed il Museo, con il conseguente risparmio dei costi per l’energia elettrica;",2015,2011,"","Italy","it","Nazzano"
10,NA,"La fontana ecologica ACQUA SI, nota anche come casa dell'acqua, è un sistema che permette ai cittadini di utilizzare, ad un costo simbolico, l'acqua publica a fini alimentari. A differenza dell'acqua che arriva direttmente dal rubinetto, quest viene:
- microflitrata, in modo da catturre tutte le microparticelle in sospensione presenti ed eliminare il sapore di cloro tipico ""dell'acqua del rubinetto"" ;
- refrigerata, in modo da renderla subito utile al consumo anche nei mesi più caldi dell'anno;
- erogata in versione naturale e gassata.",2011,2011," http://www.acquasi.com/it/installazioni/nazzano-roma-.php ","Italy","it","Nazzano"
NA,NA,"Un membro dello staff tecnico comunale è stato nominato referente per il SEAP di Nazzano",2012,2012,"","Italy","it","Nazzano"
24,1e+05,"Each lighting system can be equipped with systems that will make the operation
of each lamp from the presence or absence of people in the space. It is also possible to place
luminance meter, so many lights that illuminate in conjunction with natural lighting
provide adequate lighting conditions. The savings achieved are in the order
20% per plant automation",2015,2013,"","Greece","en","Nea Smyrni"
13,10000,"The intervention relates to heavy vehicles of the Municipality. Includes buses, trucks,
presses, washing machines, sweepers, cranes, and fire truck. Vehicles new technology (EURO IV
and later) have lower fuel consumption and lower emissions of carbon dioxide
carbon and pollutants.",2015,2012,"","Greece","en","Nea Smyrni"
1352,5e+05,"Creating roof garden in schools. The aim is to improve the thermal insulation of
building and the reduction of energy consumption for heating in winter and cooling in summer.
Furthermore, plants absorb carbon dioxide and other pollutants and contribute
firstly to improve air quality and secondly to reduce the phenomenon of
heat island effect in the city.",2016,2014,"","Greece","en","Nea Smyrni"
32.39,370000,"e<U+03C1><U+03B3>as<U+03AF>e<U+03C2> ße<U+03BB>t<U+03AF><U+03C9>s<U+03B7><U+03C2> t<U+03B7><U+03C2> <U+03B8>e<U+03C1>µ<U+03BF>µ<U+03CC><U+03BD><U+03C9>s<U+03B7><U+03C2> se s<U+03C5><U+03BD><U+03BF><U+03BB><U+03B9><U+03BA><U+03AC> p<U+03AD><U+03BD>te (5) <U+03BA>t<U+03AF><U+03C1><U+03B9>a t<U+03BF><U+03C5> <U+0394><U+03AE>µ<U+03BF><U+03C5> e<U+03BA> t<U+03C9><U+03BD> <U+03BF>p<U+03BF><U+03AF><U+03C9><U+03BD> t<U+03C1><U+03AF>a (3) st<U+03B7> <U+0394><U+03B7>µ<U+03BF>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BD><U+03CC>t<U+03B7>ta <U+039D>e<U+03AC>p<U+03BF><U+03BB><U+03B7><U+03C2> <U+03BA>a<U+03B9> d<U+03CD><U+03BF> (2) st<U+03B7> <U+0394><U+03B7>µ<U+03BF>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BD><U+03CC>t<U+03B7>ta <U+0391><U+03B3>. <U+03A0>a<U+03CD><U+03BB><U+03BF><U+03C5> µe st<U+03CC><U+03C7><U+03BF> t<U+03B7><U+03BD> e<U+03BE><U+03BF><U+03B9><U+03BA><U+03BF><U+03BD><U+03CC>µ<U+03B7>s<U+03B7> e<U+03BD><U+03AD><U+03C1><U+03B3>e<U+03B9>a<U+03C2>, t<U+03B7><U+03BD> µe<U+03AF><U+03C9>s<U+03B7> t<U+03C9><U+03BD> e<U+03BA>p<U+03BF>µp<U+03CE><U+03BD> CO2, t<U+03B7> ße<U+03BB>t<U+03AF><U+03C9>s<U+03B7> t<U+03BF><U+03C5> es<U+03C9>te<U+03C1><U+03B9><U+03BA><U+03BF><U+03CD> µ<U+03B9><U+03BA><U+03C1><U+03BF><U+03BA><U+03BB><U+03AF>µat<U+03BF><U+03C2> t<U+03C9><U+03BD> <U+03BA>t<U+03B9><U+03C1><U+03AF><U+03C9><U+03BD> <U+03BA>a<U+03B9> t<U+03B7> <U+03B8>e<U+03C1>µ<U+03B9><U+03BA><U+03AE> <U+03AC><U+03BD>es<U+03B7> t<U+03C9><U+03BD> <U+03C7><U+03C1><U+03B7>st<U+03CE><U+03BD> t<U+03BF><U+03C5><U+03C2>. ",2015,2012,"","Greece","el","Neapolis-Sykies"
161.4,1341908.88,"The aim of the project was to replace polluting municipal vehicles with new diesel Euro 6 anti-pollution technology, as well as to improve the environmental performance of polluting municipal vehicles through the use of LPG. These actions aimed at reducing the air pollution caused by the traffic of municipal cars.11 vehicles were replaced with new ones, while 15 other vehicles were improved by LPG application, which are used by the Clean-up Service, the Technical Service and the Administrative Services of the Municipality of Neapolis-Sykies.",2015,2013,"","Greece","en","Neapolis-Sykies"
16.2,280000,"<U+0395><U+03C1><U+03B3>as<U+03AF>e<U+03C2> a<U+03BD>t<U+03B9><U+03BA>at<U+03AC>stas<U+03B7><U+03C2> <U+03BA><U+03BF><U+03C5>f<U+03C9>µ<U+03AC>t<U+03C9><U+03BD> se s<U+03C5><U+03BD><U+03BF><U+03BB><U+03B9><U+03BA><U+03AC> ept<U+03AC> (7) <U+03BA>t<U+03AF><U+03C1><U+03B9>a e<U+03BA> t<U+03C9><U+03BD> <U+03BF>p<U+03BF><U+03AF><U+03C9><U+03BD> p<U+03AD><U+03BD>te (5) st<U+03B7> <U+0394><U+03B7>µ<U+03BF>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BD><U+03CC>t<U+03B7>ta <U+039D>e<U+03AC>p<U+03BF><U+03BB><U+03B7><U+03C2> <U+03BA>a<U+03B9> d<U+03CD><U+03BF> (2) st<U+03B7> <U+0394><U+03B7>µ<U+03BF>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BD><U+03CC>t<U+03B7>ta <U+0391><U+03B3>. <U+03A0>a<U+03CD><U+03BB><U+03BF><U+03C5> µe st<U+03CC><U+03C7><U+03BF> t<U+03B7><U+03BD> e<U+03BE><U+03BF><U+03B9><U+03BA><U+03BF><U+03BD><U+03CC>µ<U+03B7>s<U+03B7> e<U+03BD><U+03AD><U+03C1><U+03B3>e<U+03B9>a<U+03C2>, t<U+03B7><U+03BD> µe<U+03AF><U+03C9>s<U+03B7> t<U+03C9><U+03BD> e<U+03BA>p<U+03BF>µp<U+03CE><U+03BD> CO2 , t<U+03B7> ße<U+03BB>t<U+03AF><U+03C9>s<U+03B7> t<U+03BF><U+03C5> es<U+03C9>te<U+03C1><U+03B9><U+03BA><U+03BF><U+03CD> µ<U+03B9><U+03BA><U+03C1><U+03BF><U+03BA><U+03BB><U+03AF>µat<U+03BF><U+03C2> t<U+03C9><U+03BD> <U+03BA>t<U+03B9><U+03C1><U+03AF><U+03C9><U+03BD> <U+03BA>a<U+03B9> t<U+03B7> <U+03B8>e<U+03C1>µ<U+03B9><U+03BA><U+03AE> <U+03AC><U+03BD>es<U+03B7> t<U+03C9><U+03BD> <U+03C7><U+03C1><U+03B7>st<U+03CE><U+03BD> t<U+03BF><U+03C5><U+03C2>.",2015,2012,"","Greece","el","Neapolis-Sykies"
NA,12000,"""Met Belgerinkel naar de winkel"" is an annual awareness campaign in May, which aims to promote cycling to and from the local shop. ""Met Belgerinkel naar de winkel"" is a campaign with many facets and major partners (BBL, UNIZO, fietserbond, ...). Briefly, the formula is as follows: cycling customers get the chance to win a price whenever they go shopping with the bike.",2020,2008," www.belgerinkel.be ","Belgium","en","Neerpelt"
