"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
25.7,43000,"Pannelli solari termici su centri sportivi
",2012,2006,"","Italy","it","Agrate Brianza"
80.6,2833848,"Replacement of obsolete equipment with high-efficiency",2010,2006,"","Italy","it","Agrate Brianza"
98.3,NA,"Completamento piste ciclabili
",2019,2011,"","Italy","it","Agrate Brianza"
1061,420000,"Installazione di impianti fotovoltaici su spazi privati
",2020,2011,"","Italy","it","Agrate Brianza"
NA,1000,"Sensibilizzazione alla riduzione imballaggi
",2011,2011,"","Italy","it","Agrate Brianza"
NA,NA,"Valutazione a lungo termine di uno studio per centrale di cogenerazione e rete di teleriscaldamento
",2020,2011,"","Italy","en","Agrate Brianza"
NA,NA,"Possibile prolungamento metropolitana
",2020,2011,"","Italy","it","Agrate Brianza"
NA,1000,"Sviluppo mobilità ciclabile presso poli scolastici
",2013,2011,"","Italy","it","Agrate Brianza"
0.91,1000,"Pedibus scuole
",2011,2011,"","Italy","it","Agrate Brianza"
35.56,234256,"Installazione di impianti fotovoltaici su spazi del terziario
",2010,2006,"","Italy","it","Agrate Brianza"
9612,2000,"Allegato Energetico al RE
",2011,2011,"","Italy","en","Agrate Brianza"
NA,NA,"Intento di diagnosi energetica e riqualificazione involucro e impianti di edifici di proprietà del comune
",2020,2011,"","Italy","it","Agrate Brianza"
98.3,2000,"Bike sharing
",2020,2011,"","Italy","is","Agrate Brianza"
219,NA,"Iniziative di riqualificazione del verde urbano
",2013,2011,"","Italy","it","Agrate Brianza"
209,1500,"Campagne formative ai cittadini e agli uffici sul corretto uso apparecchiature
",2012,2011,"","Italy","it","Agrate Brianza"
615.3,1500,"Formazione tecnici comunali

",2012,2011,"","Italy","it","Agrate Brianza"
98.3,3000,"Razionalizzazione trasporto pubblico con valutazione servizio, percorsi, orari
",2013,2011,"","Italy","it","Agrate Brianza"
98.3,NA,"Interventi di decongestionamento traffico
",2015,2011,"","Italy","it","Agrate Brianza"
65.32,430300,"Installazione di impianti fotovoltaici su spazi privati
",2010,2006,"","Italy","it","Agrate Brianza"
1360,2000,"Acquisto di quote di energia elettrica certificata
",2013,2011,"","Italy","it","Agrate Brianza"
615.3,2000,"Campagne di formazione termografie e ACE
",2014,2011,"","Italy","it","Agrate Brianza"
107,7e+05,"Installazione di impianti fotovoltaici su spazi comunali
",2020,2010,"","Italy","it","Agrate Brianza"
NA,NA,"Installazioni dimostrative di sistemi di illuminazione ad alta efficienza
",2016,2011,"","Italy","it","Agrate Brianza"
4.67,NA,"replacement of municipal vehicles with more efficient and less polluting vehicles",2010,2005,"","Italy","it","Agrate Brianza"
7.3,2000,"Svecchiamento flotta comunale
",2014,2011,"","Italy","it","Agrate Brianza"
NA,2000,"Censimento energetico del territorio
",2012,2011,"","Italy","it","Agrate Brianza"
