,adhesion_date,country,latitude,longitude,name,population,url,ACTION,MONITOR
1765,15/12/2017,Spain,43.139183571864,-8.035147190094,CURTIS,3958,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26045,1,1
1766,30/01/2019,Spain,43.419559389552,-8.1620049476624,Cabanas,3314,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26032,1,1
1767,27/02/2014,Italy,43.0,13.0,CUPRAMONTANA,4763,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18851,1,1
1768,20/12/2012,Spain,42.307029724121,2.9772799015044997,Cabanes,963,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16967,1,1
1769,17/06/2010,Portugal,41.513999938965,-7.993579864501901,Cabeceiras de Basto,17000,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13394,1,1
1770,03/04/2019,Spain,42.030392341465,-1.5242671966552999,Cabanillas,1400,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26585,1,1
1771,30/05/2012,Spain,38.72306060791,-5.2163300514221,Cabeza del Buey,5315,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15860,1,1
1772,25/05/2012,Spain,38.085311889648,-6.4209899902344,Cabeza la Vaca,1430,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15836,1,1
1773,01/12/2012,Italy,45.675388336182,9.1677703857422,Cabiate,7526,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18400,1,1
1774,13/01/2009,Spain,37.726501464844,-7.087399959564201,Cabezas Rubias,865,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11642,1,1
1775,23/02/2009,Spain,37.473098754883,-4.443270206451401,Cabra,19523,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=12158,1,1
1776,25/07/2016,Spain,37.421699523926,-3.1789999008178995,Cabra del Santo Cristo,2027,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20390,1,1
1777,20/11/2015,Spain,41.395248413086,1.2768499851227,Cabra del Camp,1115,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19502,1,1
1778,03/07/2008,Spain,41.503398895264,2.3952600955962997,Cabrera de Mar,4408,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11643,1,1
1779,05/03/2012,Spain,41.0,1.0,Cabrera d'Anoia,1368,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16040,1,1
1780,27/11/2008,Spain,41.526298522949,2.3677999973297004,Cabrils,6964,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11644,1,1
1781,05/07/2012,Italy,37.931770324706996,13.663499832153,Caccamo,8650,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16564,1,1
1782,27/11/2012,Italy,39.13399887085,16.463800430298,Caccuri,1730,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16387,1,1
1783,02/09/2013,Spain,40.237262151578,-6.5401153777709995,Cadalso,484,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17329,1,1
1784,17/05/2012,Spain,39.283000946045,-6.2217001914978,Caceres,96663,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17548,1,1
1785,25/06/2013,Italy,44.588001251221,9.508999824523901,Cadeo,6226,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17368,1,1
1786,31/05/2012,Italy,46.131278991699,10.758609771728,Caderzone Terme,668,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15712,1,1
1787,24/07/2013,Italy,44.759998321533004,10.60000038147,Cadelbosco di Sopra,10576,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17462,1,1
1788,10/09/2014,Italy,45.447910308838,11.911009788513,Cadoneghe,16320,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18330,1,1
1789,21/09/2009,Spain,36.529674286369,-6.2929558753967,Cadiz,116979,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=12726,1,1
1790,31/01/2013,Italy,45.72449111938501,9.0381498336792,Cadorago,7812,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16628,1,1
1791,29/03/2010,France,49.181098937988004,-0.37246999144553994,Caen,112478,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=12925,1,1
1792,02/05/2012,Italy,45.797950744629,8.6434202194214,Cadrezzate,1779,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15630,1,1
1793,08/03/2011,Italy,42.452259063721,13.224789619446002,Cagnano Amiterno,1439,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=14054,1,1
1794,"Comune di Apecchio,Comune di Fratte Rosa,Comune di Acqualagna,Pergola,Comune di Serra Sant'Abbondio,Cagli,Comune di Piobbico,Comune di Cantiano,Comune di Frontone,Sassoferrato,Arcevia,San Lorenzo in Campo",Italy,43.546771231655995,12.648310661316,Cagli,8408,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27871,1,1
1795,"Bresimo,Malosco,Cagnò,Amblar-Don,Sporminore,Cavareno,Denno,Ton,Romeno,Revò,Ruffrè - Mendola,Livo,Ville D'Anaunia,Predaia,Castelfondo,Campodenno,Romallo,Cloz,Sanzeno,Ronzone,Cis,Brez,Rumo,Sarnonico,Contà,Fondo,Cles,Dambel,Sfruz",Italy,,,Cagnò,336,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20623,1,1
1796,06/11/2012,Italy,39.215562683018,9.109881503495,Cagliari,157000,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16197,1,1
1797,30/07/2015,Italy,46.150409698486,9.816960334777802,Caiolo,1076,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19132,1,1
1798,28/06/2010,Italy,45.610298156738004,10.314200401306,Caino,2082,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13419,1,1
1799,14/03/2012,Italy,41.104598999023,14.214699745178,Caiazzo,6000,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15328,1,1
1800,04/04/2012,Italy,41.181800842285,14.457360267639,Caianello,1788,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15633,1,1
1801,06/11/2012,Italy,44.394538879395,8.282320022582999,Cairo Montenotte,13618,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16487,1,1
1802,09/01/2009,Spain,37.971698760986,-6.3154802322388,Cala,1310,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11645,1,1
1803,30/10/2014,Spain,41.200939178467,1.5687999725342,Calafell,24563,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18710,1,1
1804,15/11/2012,Spain,38.889831542969,-6.3869500160217,Calamonte,6308,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16165,1,1
1805,27/04/2012,Spain,41.733280181885,1.5132800340652002,Calaf,3535,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15652,1,1
1806,09/09/2014,Italy,37.526161193848,13.289360046387,Calamonaci,1343,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18360,1,1
1807,15/01/2016,Italy,38.184120178223,15.724080085754002,Calanna,950,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17013,1,1
1808,29/11/2012,Romania,44.189968109131,27.334819793701,Calarasi,73908,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16205,1,1
1809,09/03/2011,Italy,42.326568603516,13.69810962677,Calascio,127,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=14055,1,1
1810,11/04/2013,Italy,40.54999923706,9.1199998855591,Calangianus,4267,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16742,1,1
1811,26/07/2011,Spain,38.231201171875,-1.6974500417709,Calasparra,10660,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18268,1,1
1812,19/09/2013,Italy,37.589519500732,14.270520210266,Calascibetta,4585,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17573,1,1
1813,25/01/2019,Italy,37.823540884782,15.227872432254,Calatabiano,5268,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26008,1,1
1814,09/10/2012,Italy,37.913539886475,12.861249923706,Calatafimi,6906,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16515,1,1
1815,04/07/2013,Spain,41.522171020508,-1.3457200527191002,Calatorao,3054,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17233,1,1
1816,16/03/2015,Italy,46.045490264893,10.982720375061,Calavino,1515,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19025,1,1
1817,08/01/2009,Spain,37.654899597168004,-6.8786897659302,Calañas,4355,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11646,1,1
1818,30/04/2010,Italy,45.621299743652,9.800310134887699,Calcinate,4665,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13280,1,1
1819,29/11/2012,Italy,46.003799438477,11.242199897766,Calceranica al Lago,1330,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18692,1,1
1820,"Calciano,Irsina,Tricarico,Grassano",Italy,40.352039337158,16.113550186157,Calciano,807,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16705,1,1
1821,The sole responsibility for the content of this website lies with the authors. It does not reflect the opinion of the European Union. The European Commission is not responsible for any use that may be made of the information contained therein.,Italy,,,"Calciano, Grassano, Irsina, Tricarico",05/09/2012,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20504,1,1
1822,03/05/2010,Italy,45.510501861571996,9.8523502349853,Calcio,5410,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13270,1,1
1823,15/07/2013,Italy,45.725170135498,9.413780212402301,Calco,4039,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17615,1,1
1824,"Ripe San Ginesio,Sant’Angelo in Pontano,Belforte del Chienti,Monte San Martino,Serrapetrona,Sarnano,San Ginesio,Penna San Giovanni,Tolentino,Colmurano,Loro Piceno,Gualdo,Cessapalombo,Caldarola,Camporotondo di Fiastrone",Italy,43.138900756836,13.225999832153,Caldarola,1886,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13559,1,1
1825,18/06/2013,Portugal,39.40491104126,-9.135290145874,Caldas da Rainha,51729,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17026,1,1
1826,"Crevalcore,Sant'Agata Bolognese,San Giovanni in Persiceto,Sala Bolognese,Anzola dell'Emilia,Calderara di Reno",Italy,44.564071655273,11.272199630737,Calderara di Reno,13322,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15713,1,1
1827,08/09/2008,Spain,41.789501190185,1.9918899536133001,Calders,899,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11647,1,1
1828,26/03/2012,Spain,41.83906173706,2.8090400695801003,Caldes de Malavella,7107,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15638,1,1
1829,28/05/2012,Italy,45.612350463866996,11.500599861145,Caldogno,11189,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18349,1,1
1830,09/03/2009,Spain,41.574298858643,2.4836099147797004,Caldes d'Estrac,2799,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=12416,1,1
