,name,country,emissions_baseline_year,percent_emissions_municipal,percent_emissions_tertiary,percent_emissions_residential,percent_emissions_public lighting,percent_emissions_transport,tons_co2_municipal,tons_co2_tertiary,tons_co2_residential,tons_co2_public lighting,tons_co2_transport,energy_consumption_baseline_year,percent_energy_consumption_municipal,percent_energy_consumption_tertiary,percent_energy_consumption_residential,percent_energy_consumption_public lighting,percent_energy_consumption_transport,mwh_energy_consumption_municipal,mwh_energy_consumption_tertiary,mwh_energy_consumption_residential,mwh_energy_consumption_public lighting,mwh_energy_consumption_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,emissions_factor,tons_co2_per_capita,mwh_per_capita,percent_emissions_non-energy related,tons_co2_non-energy related,percent_energy_consumption_from_renewables,mwh_energy_consumption_from_renewables,percent_emissions_industry,tons_co2_industry,percent_energy_consumption_industry,mwh_energy_consumption_industry,percent_emissions_other,tons_co2_other,percent_energy_consumption_other,mwh_energy_consumption_other,percent_energy_consumption_from_heat/cold,mwh_energy_consumption_from_heat/cold
85,ANGUILLARA VENETA,Italy,2008,0.40,4.68,30.82,1.25,47.04,87.38667,1028.22564,6769.47578,274.87488,10334.46124,2008,0.36,3.38,36.26,0.83,53.66,262.56,2491.71,26741.85,613.56,39576.08,15.88,84.12,11709.9,62045.93,IPCC,4.83,16.23,7.51,1650,,,8.30,1823.39136,5.52,4070.07,,,,,,
86,ANNA,Spain,2010,2.40,9.46,14.67,1.13,30.63,148.77449,587.31725,910.7707,69.94962,1900.90846,2010,2.62,10.47,15.67,1.29,22.90,850.53,3399.05,5084.76,418.86,7432.86,71.79,28.21,23297.65,9154.86,IPCC,2.25,11.77,,,,,41.71,2588.70389,47.04,15266.45,,,,,,
87,ANS,Belgium,2006,1.28,9.80,29.59,0.25,51.27,2444.442,18677.027,56392.044,473.116,97717.56,2006,1.49,9.59,32.30,0.23,48.94,11272,72328,243565,1708,368975,12.34,86.79,93041,654386,IPCC,6.98,27.60,,,0.87,6565,7.59,14469.53,7.24,54602,0.22,413.301,0.20,1542,,
88,APPIGNANO,Italy,2011,2.98,28.43,50.15,2.56,15.88,205.57439,1959.04918,3455.99246,176.53083,1094.29229,2011,2.73,24.60,57.69,1.86,13.11,901.67,8114.99,19032.52,615.09,4324.91,26.31,61.61,8680.05,20326.14,IPCC,1.61,7.68,,,12.07,3982.99,,,,,,,,,,
89,ANTAS DE ULLA ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
90,ARAS DE LOS OLMOS,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ARBECA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,AREA PIAVE 1,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,ARBO,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,National/sub-national,,,,,,,,,,,,,,,,
94,AREA SAN PIETRO DI FELETTO - PIEVE DI SOLIGO - REFRONTOLO,Italy,2007,0.90,9.69,23.49,0.38,34.07,1101.38381,11795.53866,28594.68083,462.28185,41479.29769,2007,0.84,7.98,30.85,0.22,35.41,3794.06,35877.82,138690.33,1007.15,159188.32,21.32,71.02,95839.93,319223.61,IPCC,6.38,23.54,1.26,1532.68,7.66,34451.47,30.21,36780.54232,24.68,110957.33,,,,,,
95,ARENALES DE SAN GREGORIO,Spain,2005,4.56,6.89,70.04,2.04,1.21,122.3761,184.8514,1879.7903,54.6964,32.55666,2005,4.13,8.19,68.16,1.51,1.53,340.84,675.48,5623.03,124.31,125.92,44.56,54.58,3676.59,4503.06,IPCC,3.86,11.85,,,0.85,70.47,1.33,35.5958,1.50,124.01,13.93,373.98998,14.99,1236.53,,
96,ARGANDA DEL REY,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ARGELITA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ARGOS ORESTIKO,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,ARIANO NEL POLESINE,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,ARLON,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ARQUA' PETRARCA,Italy,2011,12.68,6.19,29.47,0.88,35.21,1344.438,655.968,3123.52,93.702,3732.582,2011,18.05,3.87,27.30,0.54,39.35,6536,1400,9888,194,14252,20.91,79.09,7574,28642,IPCC,5.75,19.66,1.36,144,,,10.63,1126.608,6.98,2528,3.57,378.606,3.92,1418,,
102,ARRE,Italy,2008,1.00,12.60,20.92,0.79,31.52,147.448,1849.397,3071.295,116.403,4627.635,2008,1.32,13.29,22.54,0.51,37.13,627,6319,10716,241,17653,26.75,73.25,12719,34822,IPCC,6.79,22.00,1.51,222,,,27.62,4054.907,20.55,9770,4.03,591.405,4.66,2215,,
