,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
,,,,,,"Consumer Durables, Household and Personal Products",Republic of Korea,,Company,Coway Co Ltd,,Responsible corporate engagement in climate policy,,/company/coway-co-ltd,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Staples Retailing,Portugal,,Company,Jerónimo Martins SGPS SA,,Responsible corporate engagement in climate policy,,/company/jeronimo-martins-sgps-sa,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,Taiwan Province of China,,Company,Taiwan Mobile Co. Ltd.,,Responsible corporate engagement in climate policy,,/company/taiwan-mobile-co-ltd-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,South Africa,,Company,Econet Wireless,,Responsible corporate engagement in climate policy,,/company/econet-wireless,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Tires,Italy,,Company,Pirelli,,Responsible corporate engagement in climate policy,,/company/pirelli,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,South Africa,,Investor,Firstrand Limited,,Responsible corporate engagement in climate policy,,/company/firstrand-limited,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Software and Services,India,,Company,Wipro,,Responsible corporate engagement in climate policy,,/company/wipro,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,United States of America,,Investor,Prologis,,Responsible corporate engagement in climate policy,,/company/prologis,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Pharmaceuticals, Biotechnology, and Life Sciences",United Kingdom of Great Britain and Northern Ireland,,Company,GlaxoSmithKline,,Responsible corporate engagement in climate policy,,/company/glaxosmithkline,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Automobiles and Components,France,,Company,Renault,,Responsible corporate engagement in climate policy,,/company/renault,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Software and Services,Spain,,Company,INDRA A,,Responsible corporate engagement in climate policy,,/company/indra-a,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Consumer Durables, Household and Personal Products",Turkey,,Company,ARÇELİK A.Ş.,,Responsible corporate engagement in climate policy,,/company/arcelik-a-s-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Electrical Equipment and Machinery,United Kingdom of Great Britain and Northern Ireland,,Company,CNH Industrial NV,,Responsible corporate engagement in climate policy,,/company/cnh-industrial-nv,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Software and Services,United States of America,,Company,salesforce.com,,Responsible corporate engagement in climate policy,,/company/salesforce-com,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders",Côte d'Ivoire,,Company,Compagnie Ivoirienne d'Electricite,,Responsible corporate engagement in climate policy,,/company/compagnie-ivoirienne-d'electricite,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Beverage Processing,South Africa,,Company,Tiger Brands,,Responsible corporate engagement in climate policy,,/company/tiger-brands,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Construction Materials,Turkey,,Company,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,,Responsible corporate engagement in climate policy,,/company/akcansa-cimento-sanayi-ve-ticaret-a-s-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Beverage Processing,France,,Company,Danone,,Responsible corporate engagement in climate policy,,/company/danone,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
