id,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
36,,,1.0,,1.0,"Pharmaceuticals, Biotechnology, and Life Sciences",United States of America,,Company,AbbVie,,Supply 50% of total electricity consumption from renewables by 2025 from 4% in 2015,2025.0,/company/abbvie,,,,,,,,,,,,,,,,,
37,1.0,1.0,,2013.0,1.0,"Pharmaceuticals, Biotechnology, and Life Sciences",United States of America,,Company,AbbVie,20,Reduce operational CO2e emissions intensity by 20% per unit of revenue from 2013 to 2020 through increased energy efficiency,2020.0,/company/abbvie,,,,,,,,,,,,,,,,,
38,1.0,1.0,,,1.0,Construction and Engineering,Spain,,Company,Abengoa,17,Reduce biomass process emissions by 17% by 2014 through efficiency processes and investment in CO2 capturing systems in biofuel plants,2014.0,/company/abengoa,,,,,,,,,,,,,,,,,
39,1.0,1.0,,,1.0,Construction and Engineering,Spain,,Company,Abengoa,10,Reduce emissions intensity of purchased goods and services by 10% per metric tonnes CO2e per unit revenue by 2015,2015.0,/company/abengoa,,,,,,,,,,,,,,,,,
40,1.0,,,,1.0,Construction and Engineering,Spain,,Company,Abengoa,15,Biannual target focused on reducing biomass process emissions intensity by 15% metric tonnes CO2e per unit revenue through CO2 capturing systems,,/company/abengoa,,,,,,,,,,,,,,,,,
41,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,10,"Reduce CO2e emissions from purchased goods and services, specifically from their supplies, by 10% from 2013 to 2016",2016.0,/company/abengoa,,,,,,,,,,,,,,,,,
42,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,4,Reduce direct CO2e emissions from mobile combustion by 4% from 2013 to 2015 through reduced fuel consumption,2015.0,/company/abengoa,,,,,,,,,,,,,,,,,
43,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,3,Reduce CO2e emissions from stationary combustion by 3% from 2013 to 2015 through production process optimization,2015.0,/company/abengoa,,,,,,,,,,,,,,,,,
44,1.0,,,2012.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,15,Reduce CO2e emissions intensity of biomass stationary combustion by 15% per unit revenue from 2012 to 2017 through increased process efficiency,2017.0,/company/abengoa,,,,,,,,,,,,,,,,,
45,1.0,1.0,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,3,Reduce CO2e emissions from thermal energy consumption by 3% per unit revenue from 2013 to 2016 through optimization of bioethanol processes,2016.0,/company/abengoa,,,,,,,,,,,,,,,,,
46,1.0,1.0,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,20,Reduce CO2e emissions across their value chain by 20% from 2013 to 2020 through increased energy efficiency,2020.0,/company/abengoa,,,,,,,,,,,,,,,,,
47,1.0,1.0,1.0,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,7,Reduce CO2e emissions from electricity consumption by 7% from 2013 to 2015 through increased energy efficiency and renewable energy procurement,2015.0,/company/abengoa,,,,,,,,,,,,,,,,,
48,,,,,1.0,Construction and Engineering,Spain,,Company,Abengoa,,Achieve zero deforestation and forest degradation associated with Timber from their direct operations and supply chain,,/company/abengoa,,,,,,,,,,1.0,,,,,,,
49,,,,,1.0,Construction and Engineering,Spain,10.1,Company,Abengoa,,Use an internal carbon price of  USD 10.10,,/company/abengoa,1.0,,,,,,,,,,,,,,,,
50,,1.0,1.0,,,"Electric Utilities, Independent Power Producers, and Energy Traders",Spain,630000000.0,Company,Abengoa Greenfield,,"USD 630m green bonds issued for projects in renewable energy, energy efficiency in industry, and sustainable water management internationally",,/company/abengoa-greenfield,,,1.0,1.0,1.0,,,,1.0,,,,,,,,
51,1.0,,,2008.0,,,United Kingdom of Great Britain and Northern Ireland,,City,Aberdeen,42,Reduce community-wide CO2 emissions by 42% from 2008 to 2020,2020.0,/city/aberdeen/united-kingdom-of-great-britain-and-northern-ireland,,,,,,,1.0,1.0,,,,,,,,,
52,1.0,1.0,,2010.0,1.0,"Banks, Diverse Financials, and Insurance",United Kingdom of Great Britain and Northern Ireland,,Investor,Aberdeen Asset Management,20,"Reduce operational CO2e emissions intensity of offices in Singapore, Sydney, Philadelphia, and the UK by 20% per full-time employee from 2010 to 2015 through increased energy efficiency",2015.0,/company/aberdeen-asset-management,,,,,,,,,,,,,,,,,
53,1.0,,,2007.0,,,United Kingdom of Great Britain and Northern Ireland,,Region,Aberdeenshire,20,Reduce community-wide CO2 emissions by 20% from 2007 to 2020,2020.0,/subnational-region/aberdeenshire/united-kingdom-of-great-britain-and-northern-ireland,,,,,,,1.0,1.0,,,,,,,,,
54,1.0,1.0,,2011.0,1.0,"Trading Companies, Distributors, Commercial Services and Supplies",United States of America,,Company,ABM Industries,15,Reduce operational CO2e emissions intensity by 15% per full-time employee from 2011 to 2020 through increased energy efficiency,2020.0,/company/abm-industries,,,,,,,,,,,,,,,,,
55,,,1.0,,,"Banks, Diverse Financials, and Insurance",Netherlands,1120000000.0,Investor,ABN AMRO Bank,,USD 1.12bn green bonds issued for projects in energy efficiency in buildings and renewable energy in Netherlands,,/company/abn-amro-bank,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
56,1.0,,,2010.0,,,Portugal,,City,Abrantes,23,Reduce community-wide CO2 emissions by 23% from 2010 to 2020,2020.0,/city/abrantes/portugal,,,,,,,1.0,1.0,,,,,,,,,
57,1.0,,,2005.0,,,Spain,,City,Abrera,20,Reduce community-wide CO2e emissions by 20% from 2005 to 2020,2020.0,/city/abrera/spain,,,,,,,1.0,1.0,,,,,,,,,
58,1.0,,,2011.0,,,Italy,,City,Acate,20,Reduce community-wide CO2 emissions by 20% from 2011 to 2020,2020.0,/city/acate/italy,,,,,,,1.0,1.0,,,,,,,,,
59,1.0,1.0,,1990.0,1.0,Construction Materials,India,,Company,ACC,35,Reduce operational CO2e emissions intensity by 35% per tonne of product from 1990 to 2017 through increased energy efficiency,2017.0,/company/acc,,,,,,,,,,,,,,,,,
60,1.0,,,,1.0,Software and Services,Ireland,,Company,Accenture,75,Expand its key suppliers who disclose their targets and actions toward emissions reduction to 75% by 2020,2020.0,/company/accenture,,,,,,,,,,,,,,,,,
61,1.0,,,2007.0,1.0,Software and Services,Ireland,,Company,Accenture,50,Reduce emissions intensity across operations by 50% per employee from 2007 to 2020 through energy efficiency and renewable energy procurement,2020.0,/company/accenture,,,,,,,,,,,,,,,,,
62,1.0,1.0,1.0,2007.0,1.0,Software and Services,Ireland,,Company,Accenture,35,Reduce emissions intensity across operations by 35% per employee from 2007 to 2015 through energy efficiency and renewable energy procurement,2015.0,/company/accenture,,,,,,,,,,,,,,,,,
63,,1.0,1.0,2007.0,1.0,Software and Services,Ireland,,Company,Accenture,50,Reduce emissions intensity across operations by 50% per employee from 2007 to 2020 through energy efficiency and renewable energy procurement,2020.0,/company/accenture,,,,,,,,,,,,,,,,,
64,,,,,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Spain,,Company,ACCIONA S.A.,,Set an internal carbon price by 2017,2017.0,/company/acciona-s-a-,1.0,,,,,,,,,,,,,,,,
65,1.0,1.0,1.0,2011.0,1.0,"Hotels, Restaurants, Leisure, and Tourism",France,,Company,Accor,10,"Reduce operational CO2e emissions intensity of owned, leased, and managed hotels by 10% per available room from 2011 to 2015 through increased energy efficiency, building retrofits, and solar thermal installations",2015.0,/company/accor,,1.0,,,,,,,,,,,,,,,
66,,,,,1.0,Containers and Packaging,United States of America,,Company,Accurate Box,,Set an internal carbon price by 2017,2017.0,/company/accurate-box,1.0,,,,,,,,,,,,,,,,
