"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","X","file_iso","name","continent"
"41",41,0.232940443591684,0.149814624387576,0.00322008798954187,0.603151649645345,0.00160775383348855,0.00491526159556717,0.00435017895679781,41,"GBR","United Kingdom","Europe"
"42",42,0.867875039291475,0.00847752097684275,0.00527241474120104,0.0198967134234544,0.00188063787314408,0.000392323125122792,0.0962053505687603,42,"GEO","Georgia","Asia"
"43",43,0.000723272179248931,0.996369290146502,0.000318566553240467,0.00129140294672439,0.000315177056416483,0.000544235229294494,0.000438055888572809,43,"GHA","Ghana","Africa"
"44",44,0.627484960027746,0.0807584081273683,0.00794920127317185,0.00258948326995902,0.0123642116097381,0.24333131478751,0.0255224209045073,44,"GIN","Guinea","Africa"
"45",45,0.0441462066230143,0.237882158800694,0.215831194821681,0.296976369882447,0.000801280948123813,0.200486789849404,0.00387599907463638,45,"GNB","Guinea-Bissau","Africa"
"46",46,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,46,"GRC","Greece","Europe"
"47",47,0.00208131015227126,0.00158018040598583,0.307472640266817,0.026096754611661,6.19670595032554e-05,0.662163513383318,0.000543634120444328,47,"HND","Honduras","Americas"
"48",48,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,48,"HRV","Croatia","Europe"
"49",49,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,49,"HUN","Hungary","Europe"
"50",50,0.460434751596067,0.406666865092943,0.0323460203745424,0.0294045215356727,0.00144463343400147,0.0636152610641647,0.00608794690260824,50,"IDN","Indonesia","Asia"
"51",51,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,51,"IRL","Ireland","Europe"
"52",52,0.00235889467295994,0.0032483327707101,0.00118130963427985,0.991681995717141,3.28111876836694e-05,0.000859319351115913,0.000637336666109915,52,"ISL","Iceland","Europe"
"53",53,0.00888789561644319,0.137770209004423,0.0758824475718395,0.765279261358358,0.000413384802236307,0.00539543930224138,0.00637136234445821,53,"ISR","Israel","Asia"
"54",54,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,54,"ITA","Italy","Europe"
"55",55,0.0196165427938202,0.226403718701253,0.0174183574989223,0.711161308816405,0.000653835220673907,0.0208204899867694,0.00392574698215581,55,"JAM","Jamaica","Americas"
"56",56,0.594016208600505,0.00155256604698163,0.201953168583522,0.0149418998222147,0.00192760803165066,0.00127866869089339,0.184329880224232,56,"JOR","Jordan","Asia"
"57",57,0.0196057557252361,0.221719633521788,0.00837655787199293,0.673134899717953,0.0536901317391131,0.00586989960947661,0.0176031218144401,57,"JPN","Japan","Asia"
"58",58,0.00135435939798694,0.000790390847944212,0.853178700761825,0.0180467903487406,0.000192620061979664,0.000467101212263744,0.12597003736926,58,"KEN","Kenya","Africa"
"59",59,0.50455217169622,0.351637775793323,0.00395877569922863,0.0176411756835868,0.108211859114595,0.0115010502597265,0.0024971917533207,59,"KGZ","Kyrgyzstan","Asia"
"60",60,0.000102194798067267,6.79161421754877e-05,8.93884762017762e-05,3.52884387568634e-05,8.15610636076796e-05,3.28969239169777e-08,0.999623618184267,60,"KHM","Cambodia","Asia"
"61",61,0.015849266370628,0.00595936209257886,0.720280311251227,0.029761824441829,0.0380629588861076,0.00103543487840166,0.189050842079228,61,"KNA","St. Kitts & Nevis","Americas"
