,ID,URL,country,latitude,longitude,name,population,commitment_phase,inventory_phase,target_phase,plan_phase,action_plan_url,adaptation_plan_url,building_sector_emissions,transportation_sector_emissions,waste_sector_emissions,industrial_sector_emissions,other_sector_emissions
41,1525,https://www.globalcovenantofmayors.org/cities/vaxjo/,Sweden,56.8787183,14.8094385,Växjö,75000,True,True,True,True,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/Vaxjo-Energiplan_eng_webb_2011.pdf,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/Vaxjo-Klimatanpassningsplan_01.pdf,14.5,58.7,6.1,2.0,18.0
42,1529,https://www.globalcovenantofmayors.org/cities/adelaide/,Australia,-34.9274283,138.599899,Adelaide,22690,True,True,True,True,https://www.globalcovenantofmayors.org/wp-content/uploads/2015/06/carbon-neutral-action-plan_Adelaide.pdf,,56.6,38.5,4.8,,
43,1535,https://www.globalcovenantofmayors.org/cities/bristol/,United Kingdom,51.453493,-2.5973936,Bristol,432500,True,True,True,True,http://www.covenantofmayors.eu/about/signatories_en.html?city_id=378&seap,http://talkofthecities.iclei.org/blog/bristol-has-plans-for-the-future-and-they-dont-include-carbon/,,,,,
44,1537,https://www.globalcovenantofmayors.org/cities/singra/,Bangladesh,24.5015688,89.1528833,Singra,364346,False,False,False,False,,,,,,,
45,1549,https://www.globalcovenantofmayors.org/cities/belo-horizonte/,Brazil,-19.9227317,-43.9450947,Belo Horizonte,2513794,True,True,True,True,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/2.-PREGEE-Belo-Horizonte.pdf,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/2.-PREGEE-Belo-Horizonte.pdf,17.9,71.4,10.6,,
46,1559,https://www.globalcovenantofmayors.org/cities/fortaleza/,Brazil,-3.7304511,-38.5217988,Fortaleza,2315116,True,True,True,True,,,,,,,
47,1561,https://www.globalcovenantofmayors.org/cities/portland/,United States,45.5202471,-122.6741948,Portland,619360,True,True,True,True,https://www.portlandoregon.gov/bps/49989,http://www.portlandoregon.gov/bps/article/480742,61.9,36.7,1.4,,
48,1565,https://www.globalcovenantofmayors.org/cities/itu/,Brazil,-23.2638827,-47.2988919,Itu,135366,True,True,True,True,,,,,,,
49,1571,https://www.globalcovenantofmayors.org/cities/montreal/,Canada,45.4972159,-73.6103641,Montréal,1886481,True,True,True,True,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ENVIRO_FR/MEDIA/DOCUMENTS/PLAN_COLLECTIVITE_2013-2020_VF.PDF,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ENVIRO_FR/MEDIA/DOCUMENTS/2017_PACCAM_2015-020_SUMMARY.PDF,50.0,45.7,4.3,0.0,0.0
50,1573,https://www.globalcovenantofmayors.org/cities/auckland/,New Zealand,-36.8534664,174.7655514,Auckland,1614400,True,True,True,True,http://www.aucklandcouncil.govt.nz/EN/planspoliciesprojects/plansstrategies/theaucklandplan/Documents/lowcarbonauckactionplanfullversion.pdf,http://www.aucklandcouncil.govt.nz/EN/planspoliciesprojects/plansstrategies/theaucklandplan/Documents/lowcarbonauckactionplanfullversion.pdf,43.0,47.6,9.5,,
51,1575,https://www.globalcovenantofmayors.org/cities/bandung/,Indonesia,-6.9344693,107.6049539,Bandung,2575478,True,True,True,True,,,,,,,
52,1579,https://www.globalcovenantofmayors.org/cities/recife/,Brazil,-8.064193,-34.8781516,Recife,1537704,False,False,False,False,,,,,,,
53,1585,https://www.globalcovenantofmayors.org/cities/tarakan-city/,Indonesia,3.34029885,117.5991093,Tarakan City,193069,False,False,False,False,,,,,,,
54,1591,https://www.globalcovenantofmayors.org/cities/medellin/,Colombia,6.2443382,-75.5735529,Medellìn,3638794,True,True,True,True,,,,,,,
55,1593,https://www.globalcovenantofmayors.org/cities/seberang-perai/,Malaysia,5.3636834,100.4559496,Seberang Perai,900000,True,True,True,True,,,,,,,
56,1597,https://www.globalcovenantofmayors.org/cities/san-jose/,United States,37.3361905,-121.8905832,San José,1015785,False,False,False,False,,,,,,,
57,1599,https://www.globalcovenantofmayors.org/cities/bogor/,Indonesia,-6.5962985,106.7972421,Bogor,891467,True,True,True,True,,,,,,,
58,1603,https://www.globalcovenantofmayors.org/cities/san-rafael-de-heredia/,Costa Rica,10.014472,-84.098646,San Rafael de Heredia,53901,True,True,True,True,,,,,,,
59,1605,https://www.globalcovenantofmayors.org/cities/balikpapan/,Indonesia,-1.239871,116.8593379,Balikpapan,440552,True,True,True,True,,,,,,,
60,1607,https://www.globalcovenantofmayors.org/cities/shimla/,India,31.1041526,77.1709729,Shimla,169758,True,True,True,True,,,,,,,
61,1611,https://www.globalcovenantofmayors.org/cities/lefkosa-turkish-community/,Cyprus,35.196845,33.3529635,Lefkosa Turkish Community,61378,True,True,True,True,,,,,,,
62,1621,https://www.globalcovenantofmayors.org/cities/rajkot/,India,22.3045769,70.802161,Rajkot,1286995,True,True,True,True,,,,,,,
63,1629,https://www.globalcovenantofmayors.org/cities/gwalior/,India,26.2037247,78.1573628,Gwalior,1053505,True,True,True,True,,,,,,,
64,1631,https://www.globalcovenantofmayors.org/cities/freiburg/,Germany,50.9169415,13.3428889,Freiburg im Breisgau,220000,True,True,True,True,,,,,,,
65,1635,https://www.globalcovenantofmayors.org/cities/ludwigsburg/,Germany,48.8956194,9.1895147,Ludwigsburg,86793,False,False,False,False,http://www.covenantofmayors.eu/about/signatories_en.html?city_id=4174&seap,"http://www.ludwigsburg.de/,Lde/start/stadt_buerger/Klimaanpassung+Region+Stuttgart.html",,,,,
66,1639,https://www.globalcovenantofmayors.org/cities/tegucigalpa/,Honduras,14.0931919,-87.201263,Tegucigalpa,1126534,False,False,False,False,,,,,,,
67,1647,https://www.globalcovenantofmayors.org/cities/cordoba/,Argentina,-31.417339,-64.1833189,Córdoba,1422000,True,True,True,True,,,51.5,31.8,16.8,,
68,1655,https://www.globalcovenantofmayors.org/cities/valparaiso/,Chile,-33.0458455,-71.6196748,Valparaíso,906967,False,False,False,False,,,,,,,
69,1657,https://www.globalcovenantofmayors.org/cities/cali/,Colombia,3.4319329,-76.5113047,Cali,2369829,True,True,True,True,,,27.3,51.2,21.5,0.0,
70,1659,https://www.globalcovenantofmayors.org/cities/santo-domingo/,Dominican Republic,18.4801972,-69.9421109,Santo Domingo,2945353,False,False,False,False,,,,,,,
71,1665,https://www.globalcovenantofmayors.org/cities/jakarta/,Indonesia,-6.1753941,106.827183,Jakarta,10155902,True,True,True,True,,,,,,,
72,1667,https://www.globalcovenantofmayors.org/cities/amman/,Jordan,31.9515694,35.9239625,Amman,3500000,True,True,True,True,,,64.0,30.5,5.5,,
73,1669,https://www.globalcovenantofmayors.org/cities/panama-city/,Panama,8.9714493,-79.5341801,Panama City,880691,True,True,True,True,,,,,,,
74,1671,https://www.globalcovenantofmayors.org/cities/asuncion/,Paraguay,-25.2959915,-57.6311195,Asunción,529433,True,True,True,True,,,,,,,
75,1689,https://www.globalcovenantofmayors.org/cities/zaragoza/,Spain,41.6521342,-0.8809427,Zaragoza,990111,False,False,False,False,,,,,,,
