"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","X","file_iso","name","continent"
"55",55,0.303709923057521,0.00204074775513631,0.0246777011824487,0.662719320138485,0.00102915144801465,0.00185613092246548,0.0026770655270381,0.0012899599688904,55,"JAM","Jamaica","Americas"
"56",56,0.0519667275849143,0.000647620596877126,0.0738363143784243,0.0124975802274777,0.45396910054409,0.000589128607615423,0.280126944475134,0.126366583585467,56,"JOR","Jordan","Asia"
"57",57,0.0922345107890651,0.120970914913349,0.00438694972668977,0.601311032376118,0.000764383061129152,0.168268456138564,0.00448276003208724,0.00758099296299812,57,"JPN","Japan","Asia"
"58",58,0.00193282035582709,0.000283028268733103,0.155276725153778,0.0224406231334337,0.00985109916944026,0.000919216216614304,0.00273995203835153,0.806556535663822,58,"KEN","Kenya","Africa"
"59",59,0.795363631037647,0.184142888852469,0.000698710808927157,0.0161470677063293,0.000338536053536022,0.00144564005901783,0.00120002951475269,0.000663495967320816,59,"KGZ","Kyrgyzstan","Asia"
"60",60,4.89194004810861e-05,5.13611825738051e-05,1.46779626237542e-05,3.13091537030491e-05,0.000362756721659199,3.261874942239e-05,9.91248301330111e-05,0.999359231999404,60,"KHM","Cambodia","Asia"
"61",61,0.00301318462013606,0.000142475359607513,0.000539719184757266,0.0233052785184579,0.965818243949997,0.000124239741281209,0.00298447760792484,0.00407238101783817,61,"KNA","St. Kitts & Nevis","Americas"
"62",62,0.354958020301031,0.000807189019022532,0.00106336286525592,0.640355834383749,0.000527219086706161,0.000491056856578096,0.00115295299196638,0.000644364495690133,62,"KOR","South Korea","Asia"
"63",63,0.450213194711799,0.00121352683623993,0.00209708735927902,0.543229181688262,0.000635151161010301,0.000571407292598077,0.0013412646060178,0.00069918634479385,63,"KOR","South Korea","Asia"
"64",64,0.0267330692037216,0.0146914592143436,0.0835482494932087,0.448505987146673,0.0871428251671692,0.0367260484811226,0.29234526365043,0.010307097643331,64,"KWT","Kuwait","Asia"
"65",65,0.00187489450449667,0.0114953179343124,0.000894040706261915,0.000645082427591586,0.00560767627170869,0.00182449221389783,0.759150854202222,0.218507641739509,65,"LAO","Laos","Asia"
"66",66,0.00417179152185957,0.00151782317984752,0.247022322417286,0.0756873523592885,0.00507722148042589,0.00132784391900112,0.547295771758062,0.117899873364229,66,"LBN","Lebanon","Asia"
"67",67,0.314894421855409,0.00533807037716631,0.0016622825907166,0.0520809933643511,0.00888412676429312,0.29653391700431,0.157944992289297,0.162661195754458,67,"LBR","Liberia","Africa"
"68",68,0.149210390558824,0.0673109307974535,0.0540555444432361,0.388780292661344,0.00230865524774565,0.0161616783486338,0.0679853129109308,0.254187195031832,68,"LCA","St. Lucia","Americas"
"69",69,0.0049999695200151,0.0968443091432301,0.00162230887204043,0.000662215743397253,0.0537185621226944,0.0568174916167554,0.72090340981597,0.0644317331658972,69,"LKA","Sri Lanka","Asia"
"70",70,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,70,"LTU","Lithuania","Europe"
"71",71,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,71,"LUX","Luxembourg","Europe"
"72",72,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,72,"LVA","Latvia","Europe"
"73",73,0.0017865127174334,0.000584184455600717,0.0962142379473558,0.0526353581089309,0.0136629042887422,0.000417489737930649,0.833157588463302,0.00154172428070481,73,"MAR","Morocco","Africa"
"74",74,0.00603831137339647,0.0013095668565344,0.138373534786272,0.000972300807860108,0.0997399595426856,0.000681303354302152,0.749370429548101,0.00351459373084846,74,"MCO","Monaco","Europe"
"75",75,0.000256413050503942,0.000112546955888689,0.000253557451648045,0.000122144010920271,1.24404488613906e-05,0.999068962417679,4.44396368778316e-05,0.000129496027620797,75,"MDA","Moldova","Europe"
"76",76,0.103197449936549,0.00508695837624452,0.00199297487905359,0.627824486998643,0.00511577256629149,0.00133082461693134,0.229205921344474,0.0262456112818132,76,"MDV","Maldives","Asia"
"77",77,0.261635107241364,0.000653864578776562,0.601894279816489,0.131199003281943,0.000787136911362233,0.00153779829367702,0.00133975951328207,0.000953050363106413,77,"MEX","Mexico","Americas"
"78",78,0.661589557466269,0.0268582352087519,0.0118760930537537,0.0243970170645,0.0109030730760602,0.00347479488616445,0.250822404392551,0.0100788248519494,78,"MHL","Marshall Islands","Oceania"
"79",79,0.925306445641581,0.00252576226918366,0.000532732625838411,0.0697351166505187,0.00028980350945647,0.000652191081168821,0.000538397374806057,0.000419550847447385,79,"MKD","North Macedonia","Europe"
"80",80,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,80,"MLT","Malta","Europe"
"81",81,0.000778731439427347,0.062801055433692,0.000181271183344314,0.000128118768355898,0.000177001991742975,9.84613165048196e-05,0.935349225944295,0.000486133922637117,81,"MMR","Myanmar (Burma)","Asia"
"82",82,0.873657501789869,0.00181518960088902,0.011170422830665,0.106402100815296,0.00162165080452953,0.00111138765487616,0.002589811110526,0.00163193539334923,82,"MNE","Montenegro","Europe"
"83",83,0.00442257385309115,0.000729411764116602,0.00177360924105854,0.0005357614089586,0.667331302487351,0.000149152489175898,0.315318167933262,0.00974002082298624,83,"MNG","Mongolia","Asia"
"84",84,0.00208127728841333,0.541494768002284,0.000541764878702293,0.0891974557322336,0.000687571952232254,0.00105935433221901,0.359501885199619,0.00543592261429667,84,"MUS","Mauritius","Africa"
"85",85,0.00014760706442534,0.999310162971224,1.47828701809386e-05,3.0550399835912e-05,4.76932079470014e-06,6.99213056328708e-05,0.000341795093385045,8.04109745218535e-05,85,"MWI","Malawi","Africa"
"86",86,0.0646606604829881,0.00477563363006773,0.0114025466346841,0.465926914226429,0.0151449557376961,0.00872950260335719,0.164281242454072,0.265078544230706,86,"MYS","Malaysia","Asia"
"87",87,0.998246534705214,0.000504446038382807,0.000214224598373613,0.000285240665459749,0.000246533435562013,8.7822296954839e-05,0.000279318453225982,0.00013587980682609,87,"NAM","Namibia","Africa"
"88",88,0.00291667853013035,0.0868337976391862,0.898027123404223,0.00204291824872492,0.000350927367669539,0.00590900462680209,0.00255005741973841,0.00136949276352604,88,"NIC","Nicaragua","Americas"
"89",89,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,89,"NLD","Netherlands","Europe"
"90",90,0.00437924055745812,0.000345124174181892,0.000763294955743378,0.992657225557738,0.000179326220833158,0.000357335032591708,0.000800504661149916,0.000517948840303826,90,"NOR","Norway","Europe"
