"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","X","file_iso","name","continent"
"71",71,0.000829400685289393,6.78075926294452e-05,0.00051034973805893,0.000157979362329006,0.998198487058858,0.000235975562835267,71,"LUX","Luxembourg","Europe"
"72",72,0.000829400685289403,6.78075926294434e-05,0.000510349738058935,0.000157979362329004,0.998198487058858,0.000235975562835267,72,"LVA","Latvia","Europe"
"73",73,0.00305768173183151,0.00256601627340997,0.248338654917657,0.629982626422383,0.0417216231518796,0.0743333975028393,73,"MAR","Morocco","Africa"
"74",74,0.0672559280369311,0.00933093312404109,0.478097697595541,0.402023235609342,0.00182023909680162,0.0414719665373434,74,"MCO","Monaco","Europe"
"75",75,0.000261868055294641,0.00011440643908028,0.000213204676961342,9.75085517616179e-05,0.000236356972173431,0.999076655304729,75,"MDA","Moldova","Europe"
"76",76,0.325577840568985,0.105280066402836,0.0438331706871338,0.0190473074221908,0.465523813844603,0.0407378010742508,76,"MDV","Maldives","Asia"
"77",77,0.0540429981000002,0.0037069725516473,0.668460501843306,0.0035018326225759,0.222578627833837,0.0477090670486335,77,"MEX","Mexico","Americas"
"78",78,0.239781566689936,0.0157884337354048,0.103488478031806,0.0934724948713935,0.485131098663003,0.062337928008457,78,"MHL","Marshall Islands","Oceania"
"79",79,0.846270051933586,0.000772250710320645,0.00256743576716723,0.000839297892046626,0.0706723487511229,0.0788786149457569,79,"MKD","North Macedonia","Europe"
"80",80,0.000829400685289433,6.78075926294477e-05,0.000510349738058952,0.000157979362329012,0.998198487058858,0.000235975562835269,80,"MLT","Malta","Europe"
"81",81,0.0994319080786596,0.042417674466514,0.00152189852316797,0.854004283161219,0.00147086115755302,0.00115337461288615,81,"MMR","Myanmar (Burma)","Asia"
"82",82,0.0266153109002606,0.0452376791208151,0.0292838299936747,0.275424194182497,0.168490571120939,0.454948414681813,82,"MNE","Montenegro","Europe"
"83",83,0.0152318671860352,0.0659438309209038,0.31496075283085,0.143497090701349,0.0044823319982154,0.455884126362646,83,"MNG","Mongolia","Asia"
"84",84,0.528853735431466,0.135773657225305,0.00187055299390495,0.243475969036722,0.0881178110456219,0.00190827426698052,84,"MUS","Mauritius","Africa"
"85",85,0.121485651488689,0.869893760902283,0.000190934030809036,0.000485716305911633,8.67004679516293e-05,0.00785723680435516,85,"MWI","Malawi","Africa"
"86",86,0.0249372141139615,0.171902100867298,0.158094494266327,0.0929298252378087,0.471572923105335,0.0805634424092696,86,"MYS","Malaysia","Asia"
"87",87,0.723472544098406,0.0960216356379758,0.00960760346840387,0.00186623135241835,0.00403009465499756,0.165001890787798,87,"NAM","Namibia","Africa"
"88",88,0.0958904702243972,0.00371754226243962,0.677269184143667,0.138836364403756,0.0105157524867481,0.0737706864789914,88,"NIC","Nicaragua","Americas"
"89",89,0.000829400685289407,6.7807592629446e-05,0.000510349738058937,0.000157979362329007,0.998198487058858,0.000235975562835272,89,"NLD","Netherlands","Europe"
"90",90,0.105008165852386,0.0260204371330856,0.0110304000956704,0.00961325309144159,0.837087794413863,0.0112399494135533,90,"NOR","Norway","Europe"
"91",91,0.508882744337406,0.00963522750711773,0.0294546334278151,0.0173124014964711,0.399470699695741,0.0352442935354487,92,"NZL","New Zealand","Oceania"
"92",92,0.0026197346369481,0.000702952576897653,0.90277724795568,0.0136645936278456,0.025490550500579,0.0547449207020501,93,"PAN","Panama","Americas"
"93",93,0.0111313809848847,0.000928138407192764,0.938149622562129,0.00418960827927,0.0282929943274125,0.0173082554391112,94,"PER","Peru","Americas"
"94",94,0.000829400685289433,6.78075926294477e-05,0.000510349738058952,0.000157979362329012,0.998198487058858,0.000235975562835269,95,"POL","Poland","Europe"
"95",95,0.000829400685289393,6.78075926294452e-05,0.00051034973805893,0.000157979362329006,0.998198487058858,0.000235975562835267,96,"PRT","Portugal","Europe"
"96",96,0.000590439807143575,0.000222350636495935,0.0741044192963221,0.000320739271137132,0.00389607357691555,0.920865977411986,97,"PRY","Paraguay","Americas"
"97",97,0.306426667444914,0.0479850637378249,0.0751707888506888,0.317047367582629,0.0817324900213819,0.171637622362562,98,"PSE","Palestinian Territories","Asia"
"98",98,0.0191003083885742,0.0419684627861186,0.0214902066023595,0.892579787072845,0.0206623452157168,0.00419888993438586,99,"QAT","Qatar","Asia"
"99",99,0.000829400685289403,6.78075926294434e-05,0.000510349738058935,0.000157979362329004,0.998198487058858,0.000235975562835267,100,"ROU","Romania","Europe"
"100",100,0.000267072915986678,0.00295293164832835,0.000239819138654219,0.996073231588756,4.21812211352322e-05,0.000424763487139691,101,"RWA","Rwanda","Africa"
"101",101,0.0615801063501055,0.0154310524756274,0.353248086722872,0.439898393605716,0.00235136561212551,0.127490995233554,102,"SAU","Saudi Arabia","Asia"
"102",102,0.362884321036224,0.0121989926415549,0.00624884536005832,0.0854824922636805,0.524127297973313,0.0090580507251682,103,"SGP","Singapore","Asia"
"103",103,0.435582370172814,0.00550412109855378,0.155962924262128,0.2477956954698,0.0161654055209906,0.138989483475714,104,"SLB","Solomon Islands","Oceania"
"104",104,0.165637028023602,0.433263972251139,0.398649328867935,0.000974097122827202,0.000215144417995035,0.00126042931650142,105,"SLE","Sierra Leone","Africa"
"105",105,0.43993100896151,0.232957067852339,0.246334049283611,0.00422056689786664,0.0306902281276226,0.0458670788770508,106,"SOM","Somalia","Africa"
"106",106,0.327031266714585,0.0449974153504059,0.361625774485652,0.0612024581417517,0.163576982153264,0.0415661031543415,107,"STP","São Tomé & Príncipe","Africa"
"107",107,0.000829400685289403,6.78075926294434e-05,0.000510349738058935,0.000157979362329004,0.998198487058858,0.000235975562835267,108,"SVK","Slovakia","Europe"
"108",108,0.000829400685289403,6.78075926294434e-05,0.000510349738058935,0.000157979362329004,0.998198487058858,0.000235975562835267,109,"SVN","Slovenia","Europe"
"109",109,0.000829400685289381,6.78075926294437e-05,0.000510349738058923,0.000157979362329003,0.998198487058858,0.000235975562835263,110,"SWE","Sweden","Europe"
"110",110,0.187299181157978,0.674787604496318,0.0393591244859522,0.00443509805759569,0.0882321023143019,0.0058868894878539,111,"SWZ","Eswatini","Africa"
"111",111,0.293423462547057,0.192752099864011,0.323138151043155,0.0743690920372382,0.0553186992065104,0.0609984953020282,112,"SYC","Seychelles","Africa"
"112",112,0.235778910285105,0.00655002563305456,0.0414903496475108,0.00723060600341348,0.00521319866004965,0.703736909770866,113,"THA","Thailand","Asia"
"113",113,0.146420536579759,0.180891624382744,0.296759181551828,0.127630810459203,0.0510202570670001,0.197277589959466,114,"TJK","Tajikistan","Asia"
