,name,entity_type,country
2986,Estee Lauder Companies Inc.,Investor,United States of America
2987,General Electric Company,Investor,United States of America
2988,Hays,Investor,United Kingdom of Great Britain and Northern Ireland
2989,Intesa Sanpaolo S.p.A,Investor,Italy
2990,Intesa Sanpaolo S.p.A,Investor,Italy
2991,Intesa Sanpaolo S.p.A,Investor,Italy
2992,Intesa Sanpaolo S.p.A,Investor,Italy
2993,Intesa Sanpaolo S.p.A,Investor,Italy
2994,Intesa Sanpaolo S.p.A,Investor,Italy
2995,Intesa Sanpaolo S.p.A,Investor,Italy
2996,Intesa Sanpaolo S.p.A,Investor,Italy
2997,Intesa Sanpaolo S.p.A,Investor,Italy
2998,JPMorgan Chase & Co.,Investor,United States of America
2999,"Legg Mason, Inc.",Investor,United States of America
3000,"Marsh & McLennan Companies, Inc.",Investor,United States of America
3001,Morgan Stanley,Investor,United States of America
3002,Morgan Stanley,Investor,United States of America
3003,Morgan Stanley,Investor,United States of America
3004,NH Hotel Group,Investor,Spain
3005,NH Hotel Group,Investor,Spain
3006,"Nomura Holdings, Inc.",Investor,Japan
3007,Prologis,Investor,United States of America
3008,Prudential plc,Investor,United Kingdom of Great Britain and Northern Ireland
3009,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
3010,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
3011,Meliá Hotels International S.A.,Investor,Spain
3012,Meliá Hotels International S.A.,Investor,Spain
3013,Suez,Investor,France
3014,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
3015,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
3016,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
3017,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
3018,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
3019,Syniverse,Supply Chain,United States of America
3020,Syniverse,Supply Chain,United States of America
3021,Befimmo SA,Investor,Belgium
3022,Befimmo SA,Investor,Belgium
3023,Befimmo SA,Investor,Belgium
3024,Befimmo SA,Investor,Belgium
3025,AbbVie Inc,Investor,United States of America
3026,AbbVie Inc,Investor,United States of America
3027,News Corp,Investor,United States of America
3028,News Corp,Investor,United States of America
3029,News Corp,Investor,United States of America
3030,Sopra Steria Group,Investor,France
3031,Sopra Steria Group,Investor,France
3032,Sopra Steria Group,Investor,France
3033,Sopra Steria Group,Investor,France
3034,Baxter International Inc.,Investor,United States of America
3035,Deutsche Bank AG,Investor,Germany
3036,MAPFRE,Investor,Spain
3037,MAPFRE,Investor,Spain
3038,MAPFRE,Investor,Spain
3039,MAPFRE,Investor,Spain
3040,MAPFRE,Investor,Spain
