name,entity_type,constituency,coordinator,city,country
Association Internationale des Maires et Responsables des Capitales et Metropoles Partiellement ou Entièrement Francophones,Non-governmental organizations,,,,
Association Jeunesse Verte du Cameroun,Non-governmental organizations,Constituency - Women and Gender,Ms. Marie Tamoifo Nkom,Yaounde,Cameroon
Association Marocaine pour la Protection des Aires Marines et Développement Durable,Non-governmental organizations,Constituency - Environmental,Mr. Abdechahid Loukili,Berrechid,Morocco
Association of American Geographers,Non-governmental organizations,Constituency - Research and independent,Ms. Candida Livia Mannozzi,Washington,United States of America
Association of Consulting Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. Clemens Marcel Kremer,Berlin,Germany
Association of Energy Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. William Kent,Atlanta,United States of America
Association pour l’Innovation et la Recherche au Service du Climat,Non-governmental organizations,,,,
Association Québécoise de Lutte contre la Pollution Atmosphérique,Non-governmental organizations,Constituency - Environmental CAN,Mr. Alain Francois Brunel,St. Léon -de-Standon,Canada
Atelier21,Non-governmental organizations,Constituency - Environmental,Mr. Cedric Carles,Paris,France
Ateneo de Manila University,Non-governmental organizations,Constituency - Research and independent,Mr. Antonio Gabriel La Viña,Quezon City,Philippines
Atlantic Council,Non-governmental organizations,Constituency - Environmental,Mr. Jorge Gastelumendi,Washington DC,United States of America
Australian Climate Coolers Limited - 1 Million Women,Non-governmental organizations,Constituency - Environmental,Ms. Natalie Isaacs,The Rocks,Australia
Australian Conservation Foundation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Kelly-Ann O'Shanassy,Carlton,Australia
Australian Council for Educational Research,Non-governmental organizations,Constituency - Research and independent,Ms. Bethany Davies,Melbourne,Australia
Australian Rainforest Conservation Society Inc.,Non-governmental organizations,Constituency - Environmental,Ms. Aila Keto,Milton,Australia
Australian Youth Climate Coalition,Non-governmental organizations,Constituency - Youth,Ms. Hillary Eve Montague,Carlton,Australia
Avaaz Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Risalat Khan,New York,United States of America
Avenir Climatique,Non-governmental organizations,Constituency - Youth,Ms. Léa Cruse,Paris,France
Babatunde Development and Empowerment Initiative,Non-governmental organizations,Constituency - Youth,Mr. Ajani Wasiu Babatunde,Akure Ondo State,Nigeria
Bahu Trust,Non-governmental organizations,,Mr. Kamran Shezad,Birmingham,United Kingdom of Great Britain and Northern Ireland
Baltic and International Maritime Council,Non-governmental organizations,Constituency - Business and Industry,Ms. Beverley Mackenzie,Bagsvaerd,Denmark
Ban Ki -moon Centre for Global Citizens,Non-governmental organizations,,,,
